SOURCE GROUP /// TARGET GROUP -->,Accountants,"Adviseurs marketing, public relations en sales",Algemeen directeuren,Apothekersassistenten,Architecten,Artsen,Assemblagemedewerkers,Auteurs en taalkundigen,Automonteurs,Bakkers,Bedieners mobiele machines,Bedrijfskundigen en organisatieadviseurs,Beeldend kunstenaars,Beleidsadviseurs,Beroepsgroep sportinstructeurs,Beveiligingspersoneel,Bibliothecarissen en conservatoren,Biologen en natuurwetenschappers,Boekhouders,Boekhoudkundig medewerkers,Bouwarbeiders afbouw,Bouwarbeiders ruwbouw,Buschauffeurs en trambestuurders,Callcentermedewerkers outbound en overige verkopers,"Chauffeurs auto's, taxi's en bestelwagens",Conciërges en teamleiders schoonmaak,Databank- en netwerkspecialisten,Dekofficieren en piloten,Directiesecretaresses,Docenten algemene vakken secundair onderwijs,Docenten beroepsgerichte vakken secundair onderwijs,Docenten hoger onderwijs en hoogleraren,Elektriciens en elektronicamonteurs,Elektrotechnisch ingenieurs,Financieel specialisten en economen,Fotografen en interieurontwerpers,Fysiotherapeuten,Gebruikersondersteuning ICT,Gespecialiseerd verpleegkundigen,Grafisch vormgevers en productontwerpers,"Hoveniers, tuinders en kwekers",Hulpkrachten bouw en industrie,Hulpkrachten landbouw,Ingenieurs (geen elektrotechniek),Journalisten,Juristen,Kappers en schoonheidsspecialisten,Kassamedewerkers,Kelners en barpersoneel,Keukenhulpen,Koks,Laboranten,"Laders, lossers en vakkenvullers",Land- en bosbouwers,Lassers en plaatwerkers,Leerkrachten basisonderwijs,Leidsters kinderopvang en onderwijsassistenten,Loodgieters en pijpfitters,Maatschappelijk werkers,Machinemonteurs,Managers ICT,Managers commerciële en persoonlijke dienstverlening,Managers detail- en groothandel,Managers gespecialiseerde dienstverlening,Managers horeca,Managers logistiek,Managers onderwijs,Managers productie,Managers verkoop en marketing,Managers zakelijke en administratieve dienstverlening,Managers zonder specificatie,Managers zorginstellingen,Medewerkers drukkerij en kunstnijverheid,Medisch praktijkassistenten,Medisch vakspecialisten,Metaalbewerkers en constructiewerkers,"Meubelmakers, kleermakers en stoffeerders",Militaire beroepen,Onderwijskundigen en overige docenten,Overheidsambtenaren,Overheidsbestuurders,Politie en brandweer,Politie-inspecteurs,Procesoperators,Productcontroleurs,Productieleiders industrie en bouw,Productiemachinebedieners,Psychologen en sociologen,Radio- en televisietechnici,Receptionisten en telefonisten,Reisbegeleiders,Schilders en metaalspuiters,Schoonmakers,Secretaresses en administratief medewerkers,Slagers,"Sociaal werkers, groeps- en woonbegeleiders",Software- en applicatieontwikkelaars,Specialisten personeels- en loopbaanontwikkeling,Technici bouwkunde en natuur,Timmerlieden,Transportplanners en logistiek medewerkers,Uitvoerend kunstenaars,Veetelers,Verkoopmedewerkers detailhandel,Verpleegkundigen (mbo),Vertegenwoordigers en inkopers,Verzorgenden en verleners van overige persoonlijke diensten,Vrachtwagenchauffeurs,Vuilnisophalers en dagbladenbezorgers,Winkeliers en teamleiders detailhandel,Zakelijke dienstverleners
Accountants,0.010227272727272727,0.27053571428571427,0.6744318181818182,0.40324675324675324,0.7528409090909091,0.74375,0.7821428571428571,0.2051948051948052,0.8668831168831169,0.5507305194805194,0.7814935064935065,0.19496753246753246,0.7306006493506494,0.16688311688311688,0.7710227272727272,0.6608766233766233,0.3345779220779221,0.837012987012987,0.21274350649350648,0.367775974025974,0.6672077922077922,0.8267857142857142,0.6637175324675325,0.07386363636363637,0.6616071428571428,0.22516233766233767,0.2850649350649351,0.9555194805194805,0.22491883116883116,0.2911525974025974,0.5995941558441559,0.39431818181818185,0.878814935064935,0.5678571428571428,0.24151785714285715,0.6836038961038962,0.7452110389610389,0.4174512987012987,0.8944805194805194,0.338474025974026,0.772159090909091,0.7326298701298701,0.858198051948052,0.4340909090909091,0.20073051948051948,0.11728896103896104,0.557224025974026,0.426461038961039,0.6546266233766234,0.5607142857142857,0.7486201298701298,0.6878246753246753,0.6453733766233766,0.4872564935064935,0.7351461038961039,0.3233766233766234,0.41387987012987015,0.8206980519480519,0.535349025974026,0.7650162337662337,0.35,0.24151785714285715,0.14521103896103896,0.35949675324675323,0.5724025974025974,0.2818993506493506,0.2994318181818182,0.6418831168831168,0.23806818181818182,0.367775974025974,0.2556818181818182,0.2344155844155844,0.714935064935065,0.8663961038961039,0.8502435064935064,0.8310876623376623,0.7984577922077922,0.38961038961038963,0.19310064935064936,0.3029220779220779,0.15848214285714285,0.9518668831168832,0.8700487012987013,0.5566558441558441,0.5930194805194805,0.7293831168831169,0.854301948051948,0.2793019480519481,0.6679383116883116,0.20799512987012986,0.5013798701298702,0.5223214285714286,0.46193181818181817,0.1669642857142857,0.6633928571428571,0.535349025974026,0.35454545454545455,0.08425324675324675,0.39147727272727273,0.8967532467532467,0.3184253246753247,0.6719155844155844,0.6478896103896103,0.40073051948051946,0.9163961038961039,0.2875,0.5219967532467532,0.8319805194805194,0.6512987012987013,0.4891233766233766,0.367775974025974
"Adviseurs marketing, public relations en sales",0.4406655844155844,0.010227272727272727,0.8262175324675325,0.34594155844155844,0.9043831168831169,0.8598214285714286,0.7544642857142857,0.21599025974025973,0.8685876623376624,0.48733766233766235,0.7418019480519481,0.51875,0.69375,0.30097402597402595,0.6640422077922078,0.6313311688311688,0.2409090909090909,0.9319805194805195,0.2806006493506494,0.318262987012987,0.6271103896103896,0.7995941558441558,0.6521915584415584,0.037094155844155846,0.6401785714285714,0.1357142857142857,0.4095779220779221,0.9920454545454546,0.14935064935064934,0.32702922077922075,0.6522727272727272,0.6150162337662337,0.9075487012987012,0.7838474025974026,0.5327516233766234,0.6393668831168832,0.8275974025974026,0.39293831168831167,0.9300324675324675,0.2851461038961039,0.7388798701298701,0.717288961038961,0.8530844155844156,0.6521103896103896,0.1508116883116883,0.09448051948051948,0.48660714285714285,0.35300324675324674,0.563961038961039,0.5088474025974026,0.7448051948051948,0.7978084415584416,0.6001623376623376,0.45560064935064937,0.7085227272727272,0.2811688311688312,0.28612012987012986,0.8129058441558441,0.528612012987013,0.7305194805194806,0.5039772727272728,0.5327516233766234,0.3455357142857143,0.46988636363636366,0.5166396103896104,0.21497564935064936,0.3906655844155844,0.7655032467532468,0.3887175324675325,0.318262987012987,0.2955357142857143,0.4225243506493506,0.7041396103896104,0.9288149350649351,0.9395292207792207,0.804788961038961,0.762012987012987,0.5823051948051948,0.3424512987012987,0.23522727272727273,0.26331168831168833,0.9637175324675324,0.8969155844155844,0.5098214285714285,0.602840909090909,0.727922077922078,0.8618506493506494,0.4752435064935065,0.6297889610389611,0.13108766233766234,0.40657467532467534,0.5028409090909091,0.398538961038961,0.0987012987012987,0.624512987012987,0.528612012987013,0.3848214285714286,0.16185064935064936,0.5568993506493507,0.8974025974025974,0.5002435064935065,0.6077922077922078,0.6142045454545455,0.34131493506493504,0.9536525974025974,0.25608766233766234,0.43977272727272726,0.8164772727272728,0.6299512987012987,0.3886363636363636,0.318262987012987
Algemeen directeuren,0.053814935064935066,0.08676948051948052,0.010227272727272727,0.39237012987012987,0.3801136363636364,0.375,0.7428571428571429,0.058522727272727275,0.8276785714285714,0.49577922077922076,0.7507305194805195,0.03262987012987013,0.6564123376623376,0.010227272727272727,0.6879058441558441,0.609862012987013,0.2791396103896104,0.45397727272727273,0.20876623376623377,0.25876623376623376,0.6689935064935065,0.8223214285714285,0.6758928571428572,0.07191558441558442,0.6797077922077922,0.15170454545454545,0.09529220779220779,0.9291396103896103,0.10673701298701299,0.09139610389610389,0.4674512987012987,0.11891233766233766,0.8168019480519481,0.25535714285714284,0.10742694805194805,0.5875811688311688,0.6219155844155844,0.3497970779220779,0.7830357142857143,0.2297077922077922,0.7584415584415585,0.7301948051948052,0.8586850649350649,0.26939935064935067,0.1387987012987013,0.06753246753246753,0.5183441558441558,0.40064935064935064,0.5944805194805195,0.5603896103896104,0.6168831168831169,0.6103896103896104,0.6436688311688312,0.5032467532467533,0.7021915584415584,0.15227272727272728,0.31233766233766236,0.7892045454545454,0.5009334415584416,0.7304383116883116,0.19756493506493505,0.10742694805194805,0.04253246753246753,0.1262987012987013,0.5017857142857143,0.15811688311688313,0.056655844155844154,0.4377435064935065,0.0336038961038961,0.25876623376623376,0.12621753246753248,0.0646103896103896,0.6960227272727273,0.6166396103896103,0.3918831168831169,0.796672077922078,0.7521915584415585,0.06517857142857143,0.040625,0.21931818181818183,0.030113636363636363,0.9217532467532468,0.812012987012987,0.5594155844155844,0.5046266233766233,0.6284090909090909,0.8396915584415584,0.06396103896103895,0.5971590909090909,0.1481331168831169,0.4348214285714286,0.5518668831168831,0.44829545454545455,0.10178571428571428,0.6678571428571428,0.5009334415584416,0.23457792207792208,0.05625,0.29204545454545455,0.8771103896103896,0.08311688311688312,0.5711038961038961,0.6564935064935065,0.38238636363636364,0.7337662337662337,0.281737012987013,0.49074675324675326,0.8218344155844156,0.6795454545454546,0.4155844155844156,0.25876623376623376
Apothekersassistenten,0.8060876623376624,0.5744318181818182,0.9748376623376623,0.010227272727272727,0.9773538961038961,0.9625,0.7124188311688312,0.4900974025974026,0.9274350649350649,0.35397727272727275,0.7318181818181818,0.8597402597402597,0.6252435064935065,0.7739448051948052,0.7737012987012987,0.5393668831168831,0.44910714285714287,0.972564935064935,0.45933441558441557,0.6263798701298702,0.5212662337662337,0.8026785714285715,0.5169642857142858,0.13222402597402597,0.5451298701298701,0.26517857142857143,0.8002435064935065,0.9988636363636364,0.47175324675324676,0.7643668831168832,0.862987012987013,0.9116071428571428,0.9711038961038961,0.9460227272727273,0.8501217532467532,0.7101461038961039,0.9479707792207792,0.5953733766233766,0.984577922077922,0.43271103896103896,0.7367694805194805,0.6093344155844156,0.8547889610389611,0.9012987012987013,0.4426136363636364,0.3450487012987013,0.3861201298701299,0.17800324675324675,0.5787337662337663,0.32378246753246753,0.889448051948052,0.9330357142857143,0.4655844155844156,0.20454545454545456,0.6176948051948052,0.6982954545454545,0.4448051948051948,0.855762987012987,0.6951704545454546,0.6840909090909091,0.8168831168831169,0.8501217532467532,0.7843344155844156,0.8438311688311688,0.7003246753246753,0.6534902597402598,0.7974025974025974,0.9135551948051948,0.8385551948051948,0.6263798701298702,0.7276785714285714,0.824512987012987,0.6818993506493507,0.9801948051948052,0.9861201298701299,0.8284902597402597,0.7795454545454545,0.8991883116883117,0.7303571428571428,0.5089285714285714,0.6261363636363636,0.9956980519480519,0.9665584415584415,0.36030844155844155,0.8158279220779221,0.8964285714285715,0.9160714285714285,0.7986201298701299,0.7147727272727272,0.1494318181818182,0.5505681818181818,0.26704545454545453,0.20137987012987013,0.28555194805194806,0.5215909090909091,0.6951704545454546,0.6997564935064935,0.4731331168831169,0.8368506493506493,0.9598214285714286,0.8928571428571429,0.6367694805194806,0.4724025974025974,0.2622564935064935,0.9910714285714286,0.39180194805194807,0.3085227272727273,0.782711038961039,0.4459415584415584,0.5725649350649351,0.6263798701298702
Architecten,0.061282467532467536,0.07118506493506493,0.2333603896103896,0.26444805194805193,0.010227272727272727,0.4150974025974026,0.5633116883116883,0.10113636363636364,0.7191558441558441,0.3625,0.6084415584415584,0.06428571428571428,0.49626623376623374,0.010227272727272727,0.5876623376623377,0.4080357142857143,0.15284090909090908,0.45746753246753247,0.03571428571428571,0.11436688311688312,0.5081980519480519,0.7051948051948052,0.4940746753246753,0.056574675324675326,0.4924512987012987,0.1305194805194805,0.04724025974025974,0.8949675324675325,0.04212662337662337,0.056006493506493504,0.32978896103896105,0.1767857142857143,0.6671266233766234,0.15503246753246752,0.06221590909090909,0.39334415584415583,0.4913961038961039,0.2083603896103896,0.6981331168831169,0.059172077922077924,0.6111201298701299,0.5911525974025974,0.7512987012987012,0.13579545454545455,0.06996753246753247,0.02674512987012987,0.3999594155844156,0.24545454545454545,0.46314935064935064,0.42808441558441557,0.46501623376623374,0.48685064935064937,0.4637987012987013,0.363961038961039,0.5525974025974026,0.11883116883116883,0.20462662337662338,0.6228896103896104,0.34013798701298703,0.5711850649350649,0.05073051948051948,0.06221590909090909,0.033887987012987016,0.05186688311688312,0.3730519480519481,0.07232142857142858,0.09204545454545454,0.2541396103896104,0.02922077922077922,0.11436688311688312,0.10722402597402597,0.04906655844155844,0.5709415584415585,0.6237012987012988,0.4153409090909091,0.6201298701298701,0.6202922077922078,0.1546266233766234,0.04082792207792208,0.13092532467532467,0.029910714285714287,0.8651785714285715,0.6825487012987013,0.4047077922077922,0.3680194805194805,0.4714285714285714,0.7055194805194805,0.0836038961038961,0.4225243506493506,0.027516233766233765,0.25422077922077924,0.42617694805194806,0.30121753246753247,0.010227272727272727,0.5323051948051948,0.34013798701298703,0.07573051948051948,0.030032467532467532,0.06209415584415585,0.7653814935064935,0.03676948051948052,0.43068181818181817,0.4948863636363636,0.22191558441558443,0.704788961038961,0.1286525974025974,0.34330357142857143,0.7099025974025974,0.48392857142857143,0.2737012987012987,0.11436688311688312
Artsen,0.17978896103896103,0.1476461038961039,0.3698051948051948,0.23912337662337663,0.49853896103896106,0.010227272727272727,0.5775974025974026,0.10779220779220779,0.7336850649350649,0.29918831168831167,0.5870941558441558,0.17873376623376624,0.5814935064935065,0.0825487012987013,0.5164772727272727,0.4367694805194805,0.18871753246753248,0.48676948051948055,0.1591720779220779,0.15438311688311687,0.44675324675324674,0.6755681818181818,0.41103896103896104,0.05523538961038961,0.4444805194805195,0.16574675324675325,0.19277597402597402,0.8923701298701299,0.05454545454545454,0.14472402597402598,0.3236201298701299,0.18271103896103896,0.7193587662337663,0.28758116883116885,0.19995941558441557,0.43133116883116884,0.44025974025974024,0.18003246753246754,0.642775974025974,0.13863636363636364,0.5667207792207792,0.5328733766233766,0.713474025974026,0.31737012987012986,0.07142857142857142,0.020698051948051948,0.3521915584415584,0.23936688311688312,0.3728896103896104,0.3517857142857143,0.474512987012987,0.4974837662337662,0.4176948051948052,0.29959415584415583,0.522159090909091,0.1930194805194805,0.23896103896103896,0.6311688311688312,0.27357954545454544,0.5474837662337663,0.14894480519480519,0.19995941558441557,0.1650974025974026,0.17305194805194804,0.30957792207792206,0.14431818181818182,0.10681818181818181,0.4401785714285714,0.22305194805194806,0.15438311688311687,0.19715909090909092,0.14780844155844156,0.5304383116883117,0.42272727272727273,0.39025974025974025,0.6291396103896104,0.6188311688311688,0.1299512987012987,0.04991883116883117,0.17784090909090908,0.0711038961038961,0.8538961038961039,0.614448051948052,0.31810064935064936,0.3405032467532468,0.4586038961038961,0.7349025974025974,0.07248376623376623,0.4068181818181818,0.04326298701298701,0.2523538961038961,0.3491883116883117,0.29310064935064933,0.020698051948051948,0.47021103896103894,0.27357954545454544,0.1731331168831169,0.02260551948051948,0.2800324675324675,0.7959415584415584,0.2916396103896104,0.48741883116883117,0.42589285714285713,0.22987012987012986,0.6177759740259741,0.14918831168831168,0.3375,0.6163149350649351,0.4524350649350649,0.2844155844155844,0.15438311688311687
Assemblagemedewerkers,0.7832386363636363,0.5073051948051948,0.9454545454545454,0.14358766233766235,0.9338474025974026,0.9113636363636364,0.010227272727272727,0.4859577922077922,0.5805194805194805,0.08936688311688312,0.18733766233766233,0.823051948051948,0.32637987012987013,0.7234577922077922,0.604301948051948,0.2755681818181818,0.4234577922077922,0.9416396103896104,0.4106331168831169,0.5385551948051948,0.09951298701298701,0.35917207792207795,0.17069805194805196,0.17532467532467533,0.1900974025974026,0.3066558441558442,0.7400162337662337,0.9883928571428572,0.41875,0.6924512987012987,0.7206980519480519,0.8621753246753247,0.7500811688311688,0.8832792207792208,0.8250405844155844,0.36866883116883115,0.7754058441558441,0.47670454545454544,0.8968344155844156,0.34805194805194806,0.25349025974025974,0.14691558441558442,0.4680194805194805,0.7745941558441558,0.431737012987013,0.33612012987012985,0.11298701298701298,0.08733766233766234,0.25243506493506496,0.09813311688311688,0.6348214285714285,0.7771915584415584,0.10511363636363637,0.021144480519480518,0.060876623376623376,0.6383928571428571,0.38133116883116885,0.37727272727272726,0.4643262987012987,0.1198051948051948,0.7526785714285714,0.8250405844155844,0.7296266233766234,0.7775974025974026,0.4726461038961039,0.5342532467532467,0.7459415584415584,0.7896103896103897,0.7671266233766234,0.5385551948051948,0.6560876623376624,0.7799512987012988,0.19375,0.9089285714285714,0.9633928571428572,0.24650974025974026,0.24521103896103896,0.8564935064935065,0.7008928571428571,0.41501623376623376,0.5936688311688312,0.9618506493506493,0.8277597402597403,0.06030844155844156,0.5982142857142857,0.6085227272727273,0.5099025974025974,0.7888798701298702,0.44285714285714284,0.15300324675324675,0.39342532467532465,0.061525974025974026,0.11038961038961038,0.25560064935064936,0.05592532467532468,0.4643262987012987,0.6042207792207792,0.5171266233766234,0.6818181818181818,0.7146915584415584,0.8059253246753246,0.4028409090909091,0.09326298701298702,0.2343344155844156,0.9264610389610389,0.3890422077922078,0.1577922077922078,0.3117694805194805,0.10527597402597402,0.45008116883116883,0.5385551948051948
Auteurs en taalkundigen,0.5438311688311688,0.4439123376623377,0.9036525974025974,0.5417207792207792,0.9461038961038961,0.9286525974025974,0.8789772727272728,0.010227272727272727,0.9474837662337663,0.6789772727272727,0.8787337662337662,0.6180194805194805,0.7863636363636364,0.4655032467532468,0.8123376623376624,0.7532467532467533,0.5273538961038962,0.9582792207792208,0.4590097402597403,0.6031655844155844,0.7366071428571429,0.8779220779220779,0.7625,0.13230519480519481,0.7875811688311688,0.32897727272727273,0.5993506493506493,0.9965097402597403,0.4163961038961039,0.5492694805194805,0.8654220779220779,0.7158279220779221,0.9728896103896104,0.8773538961038961,0.6321834415584415,0.7914772727272728,0.9405844155844156,0.6489448051948052,0.977922077922078,0.4100649350649351,0.8643668831168831,0.816314935064935,0.9143668831168831,0.7913961038961039,0.35576298701298703,0.2788961038961039,0.5997564935064935,0.5913961038961039,0.798051948051948,0.6125,0.9199675324675325,0.9189935064935065,0.7530032467532467,0.5242694805194805,0.8109577922077922,0.5445616883116883,0.5803571428571429,0.9137987012987013,0.7631087662337662,0.8685064935064936,0.7032467532467532,0.6321834415584415,0.5087662337662338,0.6910714285714286,0.7909902597402597,0.5265422077922078,0.5323863636363636,0.8986201298701298,0.5691558441558442,0.6031655844155844,0.50625,0.5721590909090909,0.8304383116883117,0.9757305194805195,0.9661525974025974,0.9194805194805195,0.876461038961039,0.7257305194805195,0.44805194805194803,0.4629058441558442,0.323538961038961,0.9896915584415584,0.9664772727272727,0.7028409090909091,0.83125,0.9002435064935065,0.9439935064935064,0.5264610389610389,0.8299512987012987,0.3534090909090909,0.6788149350649351,0.594237012987013,0.5060876623376623,0.26931818181818185,0.7784902597402598,0.7631087662337662,0.6289772727272728,0.2909902597402597,0.7674512987012987,0.9625811688311688,0.6857142857142857,0.7589285714285714,0.7470779220779221,0.5659902597402597,0.9858766233766234,0.4396103896103896,0.623538961038961,0.907711038961039,0.6845779220779221,0.7077922077922078,0.6031655844155844
Automonteurs,0.6100649350649351,0.31079545454545454,0.8978084415584415,0.07532467532467532,0.8753246753246753,0.8291396103896104,0.08133116883116884,0.3351461038961039,0.010227272727272727,0.027353896103896103,0.10852272727272727,0.6846590909090909,0.2137987012987013,0.5051136363636364,0.43506493506493504,0.11517857142857142,0.22702922077922078,0.888474025974026,0.32832792207792205,0.3262175324675325,0.06558441558441558,0.2487012987012987,0.1737012987012987,0.06728896103896104,0.09046266233766234,0.14659090909090908,0.5552759740259741,0.9702922077922078,0.2952922077922078,0.48295454545454547,0.49131493506493507,0.7273538961038961,0.46079545454545456,0.7581980519480519,0.6667613636363636,0.2362012987012987,0.5213474025974026,0.24464285714285713,0.6866883116883117,0.21266233766233766,0.10925324675324675,0.11534090909090909,0.3288961038961039,0.6258116883116883,0.19772727272727272,0.22601461038961038,0.027353896103896103,0.023701298701298702,0.09001623376623377,0.07203733766233766,0.3781655844155844,0.47362012987012986,0.03295454545454545,0.010227272727272727,0.05438311688311688,0.400974025974026,0.15308441558441557,0.12564935064935065,0.2447646103896104,0.06806006493506493,0.5498376623376623,0.6667613636363636,0.5128246753246753,0.5880681818181818,0.2827922077922078,0.3112824675324675,0.5281655844155844,0.5912337662337662,0.5633928571428571,0.3262175324675325,0.44415584415584414,0.5909090909090909,0.11006493506493506,0.7874188311688312,0.9332792207792208,0.19805194805194806,0.13977272727272727,0.7175324675324676,0.4987824675324675,0.22272727272727272,0.40219155844155846,0.8400974025974026,0.5654220779220779,0.03668831168831169,0.36436688311688314,0.36501623376623377,0.2767857142857143,0.5991071428571428,0.2305194805194805,0.07849025974025974,0.20811688311688312,0.010227272727272727,0.07268668831168831,0.200487012987013,0.044805194805194806,0.2447646103896104,0.3846590909090909,0.2930194805194805,0.47297077922077924,0.3586038961038961,0.6439123376623377,0.2213474025974026,0.025852272727272727,0.10211038961038961,0.8023538961038961,0.2444805194805195,0.046103896103896105,0.28400974025974024,0.06793831168831169,0.2497564935064935,0.3262175324675325
Bakkers,0.8085227272727272,0.5698863636363637,0.9655844155844155,0.19553571428571428,0.9662337662337662,0.9276785714285715,0.5332792207792207,0.5029220779220779,0.8679383116883117,0.010227272727272727,0.5551136363636363,0.8495941558441559,0.49569805194805194,0.7580357142857143,0.7074675324675325,0.44886363636363635,0.4660714285714286,0.9579545454545455,0.47118506493506496,0.5976461038961038,0.3213474025974026,0.6592532467532467,0.3825487012987013,0.1418831168831169,0.46112012987012985,0.3281655844155844,0.7693993506493506,0.9974837662337662,0.46704545454545454,0.7387175324675325,0.7928571428571428,0.8892045454545454,0.9467532467532468,0.9181818181818182,0.8521509740259741,0.5888798701298701,0.8933441558441558,0.5066558441558442,0.9676948051948052,0.3984577922077922,0.5690746753246754,0.4343344155844156,0.7814123376623376,0.8683441558441558,0.4405844155844156,0.3546266233766234,0.1859577922077922,0.137012987012987,0.4160714285714286,0.24342532467532468,0.8077110389610389,0.865909090909091,0.28027597402597404,0.13157467532467532,0.41176948051948054,0.692775974025974,0.4471590909090909,0.7251623376623376,0.5842938311688312,0.492775974025974,0.7833603896103896,0.8521509740259741,0.7689935064935065,0.819237012987013,0.5850649350649351,0.6103084415584416,0.7786525974025974,0.8743506493506493,0.8083603896103896,0.5976461038961038,0.7180194805194805,0.8172077922077922,0.5053571428571428,0.9476461038961039,0.9735389610389611,0.6862418831168832,0.5874188311688312,0.8744318181818181,0.7338474025974026,0.4693181818181818,0.6338474025974026,0.9914772727272727,0.9344155844155844,0.20771103896103896,0.6693181818181818,0.8092532467532467,0.8585227272727273,0.8150162337662338,0.5973214285714286,0.17467532467532468,0.4896103896103896,0.14797077922077922,0.18133116883116884,0.28818993506493507,0.37199675324675324,0.5842938311688312,0.669724025974026,0.5424512987012987,0.7742694805194805,0.9301948051948052,0.8797077922077922,0.5550324675324675,0.3541396103896104,0.2650162337662338,0.9786525974025974,0.43116883116883115,0.2798701298701299,0.641801948051948,0.36371753246753247,0.556737012987013,0.5976461038961038
