SOURCE GROUP /// TARGET GROUP -->,Accountants,"Adviseurs marketing, public relations en sales",Algemeen directeuren,Apothekersassistenten,Architecten,Artsen,Assemblagemedewerkers,Auteurs en taalkundigen,Automonteurs,Bakkers,Bedieners mobiele machines,Bedrijfskundigen en organisatieadviseurs,Beeldend kunstenaars,Beleidsadviseurs,Beroepsgroep sportinstructeurs,Beveiligingspersoneel,Bibliothecarissen en conservatoren,Biologen en natuurwetenschappers,Boekhouders,Boekhoudkundig medewerkers,Bouwarbeiders afbouw,Bouwarbeiders ruwbouw,Buschauffeurs en trambestuurders,Callcentermedewerkers outbound en overige verkopers,"Chauffeurs auto's, taxi's en bestelwagens",Conciërges en teamleiders schoonmaak,Databank- en netwerkspecialisten,Dekofficieren en piloten,Directiesecretaresses,Docenten algemene vakken secundair onderwijs,Docenten beroepsgerichte vakken secundair onderwijs,Docenten hoger onderwijs en hoogleraren,Elektriciens en elektronicamonteurs,Elektrotechnisch ingenieurs,Financieel specialisten en economen,Fotografen en interieurontwerpers,Fysiotherapeuten,Gebruikersondersteuning ICT,Gespecialiseerd verpleegkundigen,Grafisch vormgevers en productontwerpers,"Hoveniers, tuinders en kwekers",Hulpkrachten bouw en industrie,Hulpkrachten landbouw,Ingenieurs (geen elektrotechniek),Journalisten,Juristen,Kappers en schoonheidsspecialisten,Kassamedewerkers,Kelners en barpersoneel,Keukenhulpen,Koks,Laboranten,"Laders, lossers en vakkenvullers",Land- en bosbouwers,Lassers en plaatwerkers,Leerkrachten basisonderwijs,Leidsters kinderopvang en onderwijsassistenten,Loodgieters en pijpfitters,Maatschappelijk werkers,Machinemonteurs,Managers ICT,Managers commerciële en persoonlijke dienstverlening,Managers detail- en groothandel,Managers gespecialiseerde dienstverlening,Managers horeca,Managers logistiek,Managers onderwijs,Managers productie,Managers verkoop en marketing,Managers zakelijke en administratieve dienstverlening,Managers zonder specificatie,Managers zorginstellingen,Medewerkers drukkerij en kunstnijverheid,Medisch praktijkassistenten,Medisch vakspecialisten,Metaalbewerkers en constructiewerkers,"Meubelmakers, kleermakers en stoffeerders",Militaire beroepen,Onderwijskundigen en overige docenten,Overheidsambtenaren,Overheidsbestuurders,Politie en brandweer,Politie-inspecteurs,Procesoperators,Productcontroleurs,Productieleiders industrie en bouw,Productiemachinebedieners,Psychologen en sociologen,Radio- en televisietechnici,Receptionisten en telefonisten,Reisbegeleiders,Schilders en metaalspuiters,Schoonmakers,Secretaresses en administratief medewerkers,Slagers,"Sociaal werkers, groeps- en woonbegeleiders",Software- en applicatieontwikkelaars,Specialisten personeels- en loopbaanontwikkeling,Technici bouwkunde en natuur,Timmerlieden,Transportplanners en logistiek medewerkers,Uitvoerend kunstenaars,Veetelers,Verkoopmedewerkers detailhandel,Verpleegkundigen (mbo),Vertegenwoordigers en inkopers,Verzorgenden en verleners van overige persoonlijke diensten,Vrachtwagenchauffeurs,Vuilnisophalers en dagbladenbezorgers,Winkeliers en teamleiders detailhandel,Zakelijke dienstverleners
Accountants,0.007305194805194805,0.5372159090909091,0.7917613636363636,0.04216720779220779,0.14776785714285715,0.4197646103896104,0.07130681818181818,0.4197646103896104,0.46643668831168833,0.8355113636363637,0.2044237012987013,0.024391233766233766,0.8210633116883117,0.10645292207792208,0.7770698051948052,0.04216720779220779,0.10645292207792208,0.704099025974026,0.14776785714285715,0.4850243506493506,0.07130681818181818,0.17934253246753246,0.853125,0.6698457792207793,0.024391233766233766,0.6377840909090909,0.05174512987012987,0.2558035714285714,0.4069399350649351,0.2830762987012987,0.3533685064935065,0.4264204545454545,0.17934253246753246,0.31943993506493507,0.14776785714285715,0.14776785714285715,0.3613230519480519,0.4850243506493506,0.22146915584415586,0.6377840909090909,0.19679383116883117,0.5244724025974026,0.9145698051948052,0.5118912337662338,0.10645292207792208,0.2385146103896104,0.17934253246753246,0.9759334415584415,0.9428977272727272,0.9786931818181818,0.5558035714285714,0.6800730519480519,0.965625,0.6197646103896104,0.1231737012987013,0.37715097402597403,0.7743100649350649,0.10645292207792208,0.22146915584415586,0.17934253246753246,0.4197646103896104,0.46643668831168833,0.1637581168831169,0.5558035714285714,0.4539366883116883,0.4264204545454545,0.704099025974026,0.4539366883116883,0.22146915584415586,0.5558035714285714,0.37715097402597403,0.5920048701298701,0.31943993506493507,0.4789366883116883,0.3533685064935065,0.04216720779220779,0.30060876623376626,0.7770698051948052,0.13080357142857144,0.1231737012987013,0.7770698051948052,0.2830762987012987,0.1231737012987013,0.14776785714285715,0.08859577922077921,0.2747159090909091,0.13080357142857144,0.19679383116883117,0.6296672077922078,0.49890422077922075,0.3924918831168831,0.4197646103896104,0.19679383116883117,0.4005275974025974,0.05174512987012987,0.2747159090909091,0.49890422077922075,0.05174512987012987,0.13080357142857144,0.2747159090909091,0.2558035714285714,0.31943993506493507,0.3613230519480519,0.8681412337662338,0.660349025974026,0.17934253246753246,0.17934253246753246,0.5118912337662338,0.8476055194805194,0.2830762987012987,0.17934253246753246
"Adviseurs marketing, public relations en sales",0.5372159090909091,0.007305194805194805,0.9032873376623377,0.5118912337662338,0.4329951298701299,0.1637581168831169,0.49127435064935066,0.7595373376623377,0.10645292207792208,0.6081574675324676,0.38380681818181817,0.548336038961039,0.9135146103896103,0.6017451298701298,0.460349025974026,0.5616477272727273,0.6017451298701298,0.30060876623376626,0.6296672077922078,0.7869724025974026,0.5803165584415585,0.6476055194805195,0.9252840909090909,0.22146915584415586,0.5244724025974026,0.845900974025974,0.5687905844155844,0.683887987012987,0.753612012987013,0.3085633116883117,0.7286931818181818,0.15531655844155845,0.4069399350649351,0.2747159090909091,0.4329951298701299,0.6296672077922078,0.2288555194805195,0.0789366883116883,0.36879058441558443,0.1637581168831169,0.3924918831168831,0.024391233766233766,0.8267451298701298,0.04216720779220779,0.46643668831168833,0.3533685064935065,0.4069399350649351,0.9431412337662337,0.9002840909090909,0.9465503246753246,0.03396915584415584,0.24752435064935066,0.9327516233766234,0.8390827922077922,0.4539366883116883,0.2119724025974026,0.4539366883116883,0.6017451298701298,0.36879058441558443,0.4069399350649351,0.7595373376623377,0.7788555194805195,0.6377840909090909,0.8139204545454546,0.1231737012987013,0.7634334415584415,0.8706574675324675,0.7743100649350649,0.6698457792207793,0.8139204545454546,0.7403003246753247,0.829099025974026,0.7131087662337663,0.08859577922077921,0.7286931818181818,0.5118912337662338,0.704099025974026,0.460349025974026,0.6197646103896104,0.6133522727272728,0.8975243506493507,0.3085633116883117,0.6133522727272728,0.6296672077922078,0.4789366883116883,0.6920048701298701,0.6197646103896104,0.3924918831168831,0.14776785714285715,0.06091720779220779,0.19679383116883117,0.7595373376623377,0.6549918831168832,0.7507711038961039,0.5687905844155844,0.31943993506493507,0.06091720779220779,0.5046672077922078,0.4471185064935065,0.31943993506493507,0.3367288961038961,0.2747159090909091,0.7332386363636364,0.6959821428571429,0.2044237012987013,0.6476055194805195,0.6476055194805195,0.7957386363636364,0.6433847402597402,0.3085633116883117,0.4069399350649351
Algemeen directeuren,0.7917613636363636,0.9032873376623377,0.007305194805194805,0.8001217532467533,0.8315340909090909,0.8834009740259741,0.8088068181818182,0.6081574675324676,0.891599025974026,0.9498782467532467,0.8443587662337663,0.7869724025974026,0.11570616883116883,0.7634334415584415,0.9390016233766234,0.7816964285714286,0.7634334415584415,0.928125,0.747362012987013,0.548336038961039,0.7743100649350649,0.7332386363636364,0.2558035714285714,0.9216314935064935,0.7957386363636364,0.37715097402597403,0.7788555194805195,0.6959821428571429,0.6197646103896104,0.8579951298701298,0.6518262987012987,0.8851866883116883,0.8390827922077922,0.8649756493506493,0.8315340909090909,0.747362012987013,0.872362012987013,0.8953327922077922,0.8476055194805194,0.9169237012987013,0.8421672077922078,0.9015827922077922,0.9791801948051948,0.8993100649350649,0.819034090909091,0.8506899350649351,0.8390827922077922,0.998823051948052,0.9945211038961039,0.9992288961038961,0.9057224025974026,0.9242288961038961,0.9981737012987013,0.4069399350649351,0.8232548701298701,0.8757711038961039,0.9381899350649351,0.7634334415584415,0.8476055194805194,0.8390827922077922,0.6081574675324676,0.5687905844155844,0.7403003246753247,0.4789366883116883,0.8894074675324676,0.6017451298701298,0.2385146103896104,0.5803165584415585,0.7131087662337663,0.4789366883116883,0.6377840909090909,0.4409496753246753,0.6698457792207793,0.8940340909090909,0.6518262987012987,0.8001217532467533,0.6761769480519481,0.9390016233766234,0.753612012987013,0.7570211038961039,0.06091720779220779,0.8579951298701298,0.7570211038961039,0.747362012987013,0.8139204545454546,0.6884334415584416,0.753612012987013,0.8421672077922078,0.915625,0.8975243506493507,0.8792613636363636,0.6081574675324676,0.7248782467532467,0.6249594155844156,0.7788555194805195,0.8559659090909091,0.8975243506493507,0.8033685064935064,0.8267451298701298,0.8559659090909091,0.853125,0.8649756493506493,0.6476055194805195,0.9596996753246754,0.9208198051948052,0.7332386363636364,0.7332386363636364,0.5244724025974026,0.9543425324675324,0.8579951298701298,0.8390827922077922
Apothekersassistenten,0.04216720779220779,0.5118912337662338,0.8001217532467533,0.007305194805194805,0.11570616883116883,0.3924918831168831,0.03396915584415584,0.4471185064935065,0.4409496753246753,0.8267451298701298,0.17171266233766233,0.06091720779220779,0.8315340909090909,0.13810876623376622,0.7670048701298702,0.0789366883116883,0.13810876623376622,0.6884334415584416,0.17934253246753246,0.5118912337662338,0.10645292207792208,0.2119724025974026,0.8597808441558441,0.6518262987012987,0.024391233766233766,0.6549918831168832,0.08859577922077921,0.29078733766233766,0.4329951298701299,0.24752435064935066,0.38380681818181817,0.4005275974025974,0.14776785714285715,0.2830762987012987,0.11570616883116883,0.17934253246753246,0.3291801948051948,0.460349025974026,0.18916396103896105,0.6197646103896104,0.1637581168831169,0.49890422077922075,0.9111607142857143,0.4850243506493506,0.07130681818181818,0.2044237012987013,0.14776785714285715,0.9745535714285715,0.9410308441558441,0.9773133116883117,0.5320211038961039,0.6659496753246753,0.9629464285714285,0.6377840909090909,0.08859577922077921,0.34606331168831167,0.7634334415584415,0.13810876623376622,0.18916396103896105,0.14776785714285715,0.4471185064935065,0.49127435064935066,0.19679383116883117,0.5803165584415585,0.4264204545454545,0.4539366883116883,0.7198457792207792,0.4789366883116883,0.2558035714285714,0.5803165584415585,0.4069399350649351,0.6133522727272728,0.3533685064935065,0.4539366883116883,0.38380681818181817,0.007305194805194805,0.3367288961038961,0.7670048701298702,0.1637581168831169,0.15531655844155845,0.7869724025974026,0.24752435064935066,0.15531655844155845,0.17934253246753246,0.05174512987012987,0.3085633116883117,0.1637581168831169,0.1637581168831169,0.6081574675324676,0.47374188311688314,0.3613230519480519,0.4471185064935065,0.2288555194805195,0.4264204545454545,0.08859577922077921,0.2385146103896104,0.47374188311688314,0.016761363636363637,0.09874188311688312,0.2385146103896104,0.22146915584415586,0.2830762987012987,0.3924918831168831,0.861810064935065,0.6433847402597402,0.2119724025974026,0.2119724025974026,0.5372159090909091,0.840625,0.24752435064935066,0.14776785714285715
Architecten,0.14776785714285715,0.4329951298701299,0.8315340909090909,0.11570616883116883,0.007305194805194805,0.29078733766233766,0.08859577922077921,0.5244724025974026,0.3533685064935065,0.7957386363636364,0.07130681818181818,0.1637581168831169,0.8519886363636363,0.2385146103896104,0.7248782467532467,0.17934253246753246,0.2385146103896104,0.6377840909090909,0.2830762987012987,0.5864042207792208,0.2044237012987013,0.31943993506493507,0.8792613636363636,0.5920048701298701,0.13080357142857144,0.704099025974026,0.18916396103896105,0.3924918831168831,0.5118912337662338,0.14776785714285715,0.46643668831168833,0.30060876623376626,0.04216720779220779,0.17934253246753246,0.007305194805194805,0.2830762987012987,0.22146915584415586,0.37715097402597403,0.08859577922077921,0.548336038961039,0.06091720779220779,0.4197646103896104,0.9015827922077922,0.4069399350649351,0.05174512987012987,0.10645292207792208,0.04216720779220779,0.9688717532467532,0.9349431818181818,0.9722808441558441,0.4539366883116883,0.6081574675324676,0.9579139610389611,0.6884334415584416,0.03396915584415584,0.2385146103896104,0.7198457792207792,0.2385146103896104,0.08859577922077921,0.04216720779220779,0.5244724025974026,0.5687905844155844,0.30060876623376626,0.6433847402597402,0.3367288961038961,0.5320211038961039,0.7634334415584415,0.5558035714285714,0.3613230519480519,0.6433847402597402,0.4850243506493506,0.6698457792207793,0.4409496753246753,0.36879058441558443,0.46643668831168833,0.11570616883116883,0.4264204545454545,0.7248782467532467,0.2663555194805195,0.2558035714285714,0.8167613636363636,0.14776785714285715,0.2558035714285714,0.2830762987012987,0.07130681818181818,0.4069399350649351,0.2663555194805195,0.06091720779220779,0.5372159090909091,0.3924918831168831,0.2558035714285714,0.5244724025974026,0.3367288961038961,0.5062094155844156,0.18916396103896105,0.13810876623376622,0.3924918831168831,0.10645292207792208,0.024391233766233766,0.13810876623376622,0.1231737012987013,0.17934253246753246,0.47374188311688314,0.8421672077922078,0.5803165584415585,0.31943993506493507,0.31943993506493507,0.6081574675324676,0.8139204545454546,0.14776785714285715,0.04216720779220779
Artsen,0.4197646103896104,0.1637581168831169,0.8834009740259741,0.3924918831168831,0.29078733766233766,0.007305194805194805,0.36879058441558443,0.6920048701298701,0.07130681818181818,0.6884334415584416,0.2288555194805195,0.4329951298701299,0.8975243506493507,0.49127435064935066,0.5751217532467533,0.4471185064935065,0.49127435064935066,0.4409496753246753,0.5244724025974026,0.7332386363636364,0.46643668831168833,0.548336038961039,0.9123782467532467,0.37715097402597403,0.4069399350649351,0.806047077922078,0.4539366883116883,0.6017451298701298,0.683887987012987,0.15531655844155845,0.6549918831168832,0.016761363636363637,0.2558035714285714,0.1231737012987013,0.29078733766233766,0.5244724025974026,0.0789366883116883,0.09874188311688312,0.2119724025974026,0.31943993506493507,0.2385146103896104,0.14776785714285715,0.8579951298701298,0.13080357142857144,0.3367288961038961,0.19679383116883117,0.2558035714285714,0.9523944805194805,0.915137987012987,0.9565340909090909,0.18916396103896105,0.4005275974025974,0.9417613636363636,0.7957386363636364,0.31943993506493507,0.06091720779220779,0.5687905844155844,0.49127435064935066,0.2119724025974026,0.2558035714285714,0.6920048701298701,0.7198457792207792,0.5372159090909091,0.7690340909090909,0.05174512987012987,0.6959821428571429,0.8421672077922078,0.7131087662337663,0.5803165584415585,0.7690340909090909,0.6698457792207793,0.783887987012987,0.6377840909090909,0.08859577922077921,0.6549918831168832,0.3924918831168831,0.6296672077922078,0.5751217532467533,0.5118912337662338,0.5046672077922078,0.8757711038961039,0.15531655844155845,0.5046672077922078,0.5244724025974026,0.3533685064935065,0.6133522727272728,0.5118912337662338,0.2385146103896104,0.30060876623376626,0.11570616883116883,0.04216720779220779,0.6920048701298701,0.5616477272727273,0.6800730519480519,0.4539366883116883,0.1637581168831169,0.11570616883116883,0.38380681818181817,0.3085633116883117,0.1637581168831169,0.17934253246753246,0.1231737012987013,0.660349025974026,0.7634334415584415,0.3613230519480519,0.548336038961039,0.548336038961039,0.747362012987013,0.7165178571428571,0.15531655844155845,0.2558035714285714
Assemblagemedewerkers,0.07130681818181818,0.49127435064935066,0.8088068181818182,0.03396915584415584,0.08859577922077921,0.36879058441558443,0.007305194805194805,0.46643668831168833,0.4197646103896104,0.819034090909091,0.14776785714285715,0.08859577922077921,0.8375405844155844,0.1637581168831169,0.7570211038961039,0.10645292207792208,0.1637581168831169,0.6761769480519481,0.2044237012987013,0.5320211038961039,0.13080357142857144,0.2385146103896104,0.8649756493506493,0.6377840909090909,0.05174512987012987,0.6698457792207793,0.11570616883116883,0.31943993506493507,0.4539366883116883,0.22146915584415586,0.4069399350649351,0.37715097402597403,0.1231737012987013,0.2558035714285714,0.08859577922077921,0.2044237012987013,0.30060876623376626,0.4409496753246753,0.1637581168831169,0.6017451298701298,0.13810876623376622,0.4789366883116883,0.908887987012987,0.46643668831168833,0.04216720779220779,0.17934253246753246,0.1231737012987013,0.9730113636363636,0.9400568181818182,0.9761769480519481,0.5118912337662338,0.6518262987012987,0.9618100649350649,0.6518262987012987,0.06091720779220779,0.31943993506493507,0.753612012987013,0.1637581168831169,0.1637581168831169,0.1231737012987013,0.46643668831168833,0.5118912337662338,0.22146915584415586,0.5976055194805194,0.4069399350649351,0.47374188311688314,0.7332386363636364,0.49890422077922075,0.2830762987012987,0.5976055194805194,0.4264204545454545,0.6296672077922078,0.37715097402597403,0.4329951298701299,0.4069399350649351,0.03396915584415584,0.3613230519480519,0.7570211038961039,0.18916396103896105,0.17934253246753246,0.7936282467532467,0.22146915584415586,0.17934253246753246,0.2044237012987013,0.024391233766233766,0.3367288961038961,0.18916396103896105,0.13810876623376622,0.5920048701298701,0.4539366883116883,0.3367288961038961,0.46643668831168833,0.2558035714285714,0.4486607142857143,0.11570616883116883,0.2119724025974026,0.4539366883116883,0.024391233766233766,0.07130681818181818,0.2119724025974026,0.19679383116883117,0.2558035714285714,0.41424512987012985,0.8559659090909091,0.6296672077922078,0.2385146103896104,0.2385146103896104,0.5558035714285714,0.8355113636363637,0.22146915584415586,0.1231737012987013
Auteurs en taalkundigen,0.4197646103896104,0.7595373376623377,0.6081574675324676,0.4471185064935065,0.5244724025974026,0.6920048701298701,0.46643668831168833,0.007305194805194805,0.7198457792207792,0.9032873376623377,0.5687905844155844,0.4069399350649351,0.6659496753246753,0.3367288961038961,0.8757711038961039,0.3924918831168831,0.3367288961038961,0.8421672077922078,0.29078733766233766,0.09874188311688312,0.36879058441558443,0.2558035714285714,0.7332386363636364,0.8232548701298701,0.4329951298701299,0.31943993506493507,0.38380681818181817,0.17934253246753246,0.024391233766233766,0.6197646103896104,0.08859577922077921,0.6959821428571429,0.548336038961039,0.6377840909090909,0.5244724025974026,0.29078733766233766,0.660349025974026,0.7332386363636364,0.5803165584415585,0.806047077922078,0.5616477272727273,0.753612012987013,0.9424107142857143,0.747362012987013,0.49127435064935066,0.5920048701298701,0.548336038961039,0.9920048701298702,0.9670048701298701,0.9937905844155844,0.7690340909090909,0.8315340909090909,0.9867288961038961,0.2830762987012987,0.5046672077922078,0.6698457792207793,0.8735795454545454,0.3367288961038961,0.5803165584415585,0.548336038961039,0.007305194805194805,0.07130681818181818,0.2747159090909091,0.18916396103896105,0.7131087662337663,0.016761363636363637,0.4409496753246753,0.05174512987012987,0.2119724025974026,0.18916396103896105,0.06091720779220779,0.2385146103896104,0.1231737012987013,0.7286931818181818,0.08859577922077921,0.4471185064935065,0.13810876623376622,0.8757711038961039,0.3085633116883117,0.31943993506493507,0.5751217532467533,0.6197646103896104,0.31943993506493507,0.29078733766233766,0.4789366883116883,0.1637581168831169,0.3085633116883117,0.5616477272727273,0.8001217532467533,0.7403003246753247,0.6761769480519481,0.007305194805194805,0.2385146103896104,0.03015422077922078,0.38380681818181817,0.6133522727272728,0.7403003246753247,0.4539366883116883,0.5118912337662338,0.6133522727272728,0.6017451298701298,0.6377840909090909,0.0789366883116883,0.9187094155844155,0.819034090909091,0.2558035714285714,0.2558035714285714,0.13080357142857144,0.908887987012987,0.6197646103896104,0.548336038961039
Automonteurs,0.46643668831168833,0.10645292207792208,0.891599025974026,0.4409496753246753,0.3533685064935065,0.07130681818181818,0.4197646103896104,0.7198457792207792,0.007305194805194805,0.660349025974026,0.29078733766233766,0.4789366883116883,0.9042613636363637,0.5372159090909091,0.5320211038961039,0.49127435064935066,0.5372159090909091,0.3924918831168831,0.5687905844155844,0.7570211038961039,0.5118912337662338,0.5920048701298701,0.9169237012987013,0.31943993506493507,0.4539366883116883,0.8232548701298701,0.49890422077922075,0.6377840909090909,0.7131087662337663,0.2119724025974026,0.683887987012987,0.06091720779220779,0.31943993506493507,0.17934253246753246,0.3533685064935065,0.5687905844155844,0.13810876623376622,0.03396915584415584,0.2747159090909091,0.2558035714285714,0.30060876623376626,0.08859577922077921,0.8476055194805194,0.07130681818181818,0.3924918831168831,0.2558035714285714,0.31943993506493507,0.9481737012987013,0.9100243506493506,0.9532061688311688,0.13080357142857144,0.34606331168831167,0.9390016233766234,0.8139204545454546,0.37715097402597403,0.1231737012987013,0.5244724025974026,0.5372159090909091,0.2747159090909091,0.31943993506493507,0.7198457792207792,0.747362012987013,0.5803165584415585,0.7869724025974026,0.024391233766233766,0.7248782467532467,0.853125,0.7403003246753247,0.6197646103896104,0.7869724025974026,0.6959821428571429,0.8001217532467533,0.6698457792207793,0.024391233766233766,0.683887987012987,0.4409496753246753,0.660349025974026,0.5320211038961039,0.5558035714285714,0.548336038961039,0.8851866883116883,0.2119724025974026,0.548336038961039,0.5687905844155844,0.4069399350649351,0.6476055194805195,0.5558035714285714,0.30060876623376626,0.2385146103896104,0.05174512987012987,0.10645292207792208,0.7198457792207792,0.6017451298701298,0.7090503246753247,0.49890422077922075,0.22146915584415586,0.05174512987012987,0.4329951298701299,0.36879058441558443,0.22146915584415586,0.2385146103896104,0.17934253246753246,0.6884334415584416,0.7403003246753247,0.30060876623376626,0.5920048701298701,0.5920048701298701,0.7690340909090909,0.6884334415584416,0.2119724025974026,0.31943993506493507
Bakkers,0.8355113636363637,0.6081574675324676,0.9498782467532467,0.8267451298701298,0.7957386363636364,0.6884334415584416,0.819034090909091,0.9032873376623377,0.660349025974026,0.007305194805194805,0.7788555194805195,0.8390827922077922,0.9565340909090909,0.853125,0.2119724025974026,0.8421672077922078,0.853125,0.3924918831168831,0.861810064935065,0.9111607142857143,0.8476055194805194,0.8681412337662338,0.9638392857142857,0.4539366883116883,0.8315340909090909,0.9290990259740259,0.8443587662337663,0.8807224025974026,0.9015827922077922,0.753612012987013,0.8940340909090909,0.683887987012987,0.7869724025974026,0.7403003246753247,0.7957386363636364,0.861810064935065,0.7198457792207792,0.6476055194805195,0.7743100649350649,0.49890422077922075,0.7816964285714286,0.6197646103896104,0.5118912337662338,0.6296672077922078,0.8088068181818182,0.7690340909090909,0.7869724025974026,0.8884334415584415,0.7507711038961039,0.8975243506493507,0.5920048701298701,0.4329951298701299,0.8579951298701298,0.9268262987012987,0.8033685064935064,0.7131087662337663,0.22146915584415586,0.853125,0.7743100649350649,0.7869724025974026,0.9032873376623377,0.908887987012987,0.8649756493506493,0.9196834415584415,0.6698457792207793,0.9042613636363637,0.9372159090909091,0.9071834415584416,0.8757711038961039,0.9196834415584415,0.8975243506493507,0.9227678571428571,0.8894074675324676,0.6518262987012987,0.8940340909090909,0.8267451298701298,0.8870535714285714,0.2119724025974026,0.8579951298701298,0.8559659090909091,0.9465503246753246,0.753612012987013,0.8559659090909091,0.861810064935065,0.8139204545454546,0.8834009740259741,0.8579951298701298,0.7816964285714286,0.5118912337662338,0.6377840909090909,0.704099025974026,0.9032873376623377,0.8706574675324675,0.9002840909090909,0.8443587662337663,0.7570211038961039,0.6377840909090909,0.8232548701298701,0.8001217532467533,0.7570211038961039,0.7634334415584415,0.7403003246753247,0.8953327922077922,0.17934253246753246,0.46643668831168833,0.8681412337662338,0.8681412337662338,0.9145698051948052,0.07130681818181818,0.753612012987013,0.7869724025974026
