SOURCE GROUP /// TARGET GROUP -->,Accountants,"Adviseurs marketing, public relations en sales",Algemeen directeuren,Apothekersassistenten,Architecten,Artsen,Assemblagemedewerkers,Auteurs en taalkundigen,Automonteurs,Bakkers,Bedieners mobiele machines,Bedrijfskundigen en organisatieadviseurs,Beeldend kunstenaars,Beleidsadviseurs,Beroepsgroep sportinstructeurs,Beveiligingspersoneel,Bibliothecarissen en conservatoren,Biologen en natuurwetenschappers,Boekhouders,Boekhoudkundig medewerkers,Bouwarbeiders afbouw,Bouwarbeiders ruwbouw,Buschauffeurs en trambestuurders,Callcentermedewerkers outbound en overige verkopers,"Chauffeurs auto's, taxi's en bestelwagens",Conciërges en teamleiders schoonmaak,Databank- en netwerkspecialisten,Dekofficieren en piloten,Directiesecretaresses,Docenten algemene vakken secundair onderwijs,Docenten beroepsgerichte vakken secundair onderwijs,Docenten hoger onderwijs en hoogleraren,Elektriciens en elektronicamonteurs,Elektrotechnisch ingenieurs,Financieel specialisten en economen,Fotografen en interieurontwerpers,Fysiotherapeuten,Gebruikersondersteuning ICT,Gespecialiseerd verpleegkundigen,Grafisch vormgevers en productontwerpers,"Hoveniers, tuinders en kwekers",Hulpkrachten bouw en industrie,Hulpkrachten landbouw,Ingenieurs (geen elektrotechniek),Journalisten,Juristen,Kappers en schoonheidsspecialisten,Kassamedewerkers,Kelners en barpersoneel,Keukenhulpen,Koks,Laboranten,"Laders, lossers en vakkenvullers",Land- en bosbouwers,Lassers en plaatwerkers,Leerkrachten basisonderwijs,Leidsters kinderopvang en onderwijsassistenten,Loodgieters en pijpfitters,Maatschappelijk werkers,Machinemonteurs,Managers ICT,Managers commerciële en persoonlijke dienstverlening,Managers detail- en groothandel,Managers gespecialiseerde dienstverlening,Managers horeca,Managers logistiek,Managers onderwijs,Managers productie,Managers verkoop en marketing,Managers zakelijke en administratieve dienstverlening,Managers zonder specificatie,Managers zorginstellingen,Medewerkers drukkerij en kunstnijverheid,Medisch praktijkassistenten,Medisch vakspecialisten,Metaalbewerkers en constructiewerkers,"Meubelmakers, kleermakers en stoffeerders",Militaire beroepen,Onderwijskundigen en overige docenten,Overheidsambtenaren,Overheidsbestuurders,Politie en brandweer,Politie-inspecteurs,Procesoperators,Productcontroleurs,Productieleiders industrie en bouw,Productiemachinebedieners,Psychologen en sociologen,Radio- en televisietechnici,Receptionisten en telefonisten,Reisbegeleiders,Schilders en metaalspuiters,Schoonmakers,Secretaresses en administratief medewerkers,Slagers,"Sociaal werkers, groeps- en woonbegeleiders",Software- en applicatieontwikkelaars,Specialisten personeels- en loopbaanontwikkeling,Technici bouwkunde en natuur,Timmerlieden,Transportplanners en logistiek medewerkers,Uitvoerend kunstenaars,Veetelers,Verkoopmedewerkers detailhandel,Verpleegkundigen (mbo),Vertegenwoordigers en inkopers,Verzorgenden en verleners van overige persoonlijke diensten,Vrachtwagenchauffeurs,Vuilnisophalers en dagbladenbezorgers,Winkeliers en teamleiders detailhandel,Zakelijke dienstverleners
Accountants,0.004788961038961039,0.25109577922077925,0.3822646103896104,0.9119724025974026,0.03356331168831169,0.5303165584415584,0.20482954545454546,0.4874594155844156,0.5986607142857143,0.3369724025974026,0.5527191558441559,0.16814123376623377,0.5168425324675324,0.5547483766233766,0.30190746753246755,0.15953733766233766,0.5547483766233766,0.05418019480519481,0.1994724025974026,0.7106737012987013,0.6270698051948052,0.5285308441558442,0.41635551948051946,0.5269074675324675,0.4611607142857143,0.17073863636363637,0.3282061688311688,0.48031655844155846,0.8043425324675325,0.48534902597402596,0.410836038961039,0.31002435064935063,0.5924918831168832,0.5415178571428572,0.030478896103896105,0.45921266233766234,0.7049918831168831,0.21034902597402597,0.8236607142857143,0.246875,0.36862824675324674,0.2859983766233766,0.022199675324675323,0.3077516233766234,0.29833603896103894,0.43794642857142857,0.8436282467532468,0.7957386363636364,0.5653814935064935,0.21018668831168832,0.07918019480519481,0.6801542207792208,0.0916801948051948,0.14736201298701299,0.5722808441558441,0.8038555194805195,0.8450892857142858,0.5861607142857143,0.760349025974026,0.5722808441558441,0.42593344155844154,0.05742694805194805,0.2187905844155844,0.17236201298701298,0.0520698051948052,0.3710633116883117,0.5019074675324675,0.46700487012987013,0.15280032467532467,0.1114853896103896,0.184862012987013,0.6312905844155844,0.09979707792207793,0.8952516233766233,0.2161931818181818,0.5754464285714286,0.015056818181818182,0.31359577922077925,0.632913961038961,0.48161525974025976,0.1729301948051948,0.11473214285714285,0.1729301948051948,0.48421266233766236,0.09200487012987013,0.4965503246753247,0.2760957792207792,0.7470373376623377,0.3260957792207792,0.6176542207792208,0.5788555194805195,0.5265827922077922,0.7171672077922078,0.7259334415584415,0.24021915584415585,0.7282061688311688,0.3652191558441558,0.5502840909090909,0.2778814935064935,0.5679788961038961,0.20271915584415584,0.19184253246753247,0.15280032467532467,0.5835633116883117,0.8515827922077922,0.0989853896103896,0.8309659090909091,0.5645698051948052,0.019926948051948053,0.2257711038961039,0.24395292207792207
"Adviseurs marketing, public relations en sales",0.25109577922077925,0.004788961038961039,0.583400974025974,0.8166801948051948,0.22674512987012987,0.31732954545454545,0.43518668831168833,0.2657061688311688,0.7569399350649351,0.10223214285714285,0.721387987012987,0.09784902597402598,0.2988230519480519,0.3479301948051948,0.06440746753246754,0.39103084415584416,0.3479301948051948,0.20710227272727272,0.06343344155844156,0.5402191558441558,0.7760957792207792,0.6988230519480519,0.6109983766233766,0.31262175324675323,0.6467126623376623,0.09541396103896103,0.5372970779220779,0.659862012987013,0.6653814935064936,0.2640827922077922,0.17755681818181818,0.07366071428571429,0.7501217532467532,0.7118100649350649,0.23080357142857144,0.2340503246753247,0.5351866883116884,0.4403814935064935,0.6996347402597403,0.013271103896103895,0.5741477272727272,0.04882305194805195,0.2385957792207792,0.5231737012987013,0.059862012987012984,0.20823863636363638,0.7285308441558441,0.6543425324675325,0.359862012987013,0.050608766233766235,0.31603084415584415,0.5074269480519481,0.3280438311688312,0.37869318181818185,0.7352678571428571,0.6652191558441558,0.7304788961038962,0.746387987012987,0.6053165584415584,0.7352678571428571,0.618465909090909,0.29655032467532466,0.44703733766233766,0.4054788961038961,0.20840097402597402,0.5757711038961039,0.27901785714285715,0.6501217532467533,0.3847808441558442,0.1559659090909091,0.4161931818181818,0.44103084415584415,0.16603084415584415,0.7898944805194805,0.04476461038961039,0.7382711038961038,0.2566152597402597,0.5272321428571428,0.4421672077922078,0.259375,0.09241071428571429,0.34914772727272725,0.09241071428571429,0.6622970779220779,0.17366071428571428,0.6699269480519481,0.49914772727272727,0.5866477272727273,0.5358360389610389,0.4249594155844156,0.37463474025974025,0.6950892857142857,0.546387987012987,0.5582386363636364,0.46570616883116883,0.5611607142857142,0.5717126623376624,0.34346590909090907,0.5012581168831168,0.7327516233766234,0.4327516233766234,0.071875,0.3847808441558442,0.38242694805194805,0.7395698051948052,0.3340503246753247,0.708400974025974,0.7306412337662338,0.2408685064935065,0.034375,0.017978896103896105
Algemeen directeuren,0.3822646103896104,0.583400974025974,0.004788961038961039,0.9850243506493507,0.40515422077922075,0.7795048701298701,0.19655032467532468,0.7530438311688312,0.2697646103896104,0.6477678571428571,0.21002435064935066,0.5196022727272728,0.771387987012987,0.7945211038961039,0.6239853896103896,0.24265422077922078,0.7945211038961039,0.4238230519480519,0.5428165584415584,0.8905438311688312,0.3071834415584416,0.18031655844155844,0.04573863636363636,0.7780438311688311,0.10044642857142858,0.5220373376623376,0.07171266233766234,0.12252435064935065,0.9394074675324675,0.7510957792207792,0.697362012987013,0.6291801948051948,0.2632711038961039,0.19801136363636362,0.4020698051948052,0.7350243506493507,0.8863230519480519,0.18989448051948052,0.9509334415584415,0.5803165584415585,0.022524350649350648,0.6126217532467533,0.3955762987012987,0.09346590909090909,0.6205762987012987,0.7192775974025974,0.959862012987013,0.9346996753246753,0.8019074675324676,0.5528814935064935,0.320413961038961,0.8717126623376623,0.309862012987013,0.25369318181818185,0.2346185064935065,0.9389204545454546,0.9613230519480519,0.25499188311688314,0.9179788961038962,0.2346185064935065,0.05645292207792208,0.3377840909090909,0.18080357142857142,0.22609577922077922,0.422362012987013,0.020576298701298703,0.7616477272727272,0.10742694805194805,0.24987824675324674,0.4692775974025974,0.2153814935064935,0.8389204545454545,0.46051136363636364,0.9778814935064936,0.5566152597402597,0.2398944805194805,0.3769886363636364,0.08737824675324675,0.8402191558441559,0.748823051948052,0.5243912337662338,0.28340097402597403,0.5243912337662338,0.12853084415584415,0.4523944805194805,0.13989448051948053,0.12219967532467532,0.9111607142857143,0.07382305194805194,0.8316152597402597,0.8085633116883116,0.17512175324675325,0.894439935064935,0.8981737012987013,0.16205357142857144,0.899797077922078,0.02593344155844156,0.7913555194805195,0.12008928571428572,0.22982954545454545,0.19849837662337663,0.5368912337662337,0.24987824675324674,0.811323051948052,0.9645698051948052,0.30044642857142856,0.9533685064935065,0.22642045454545454,0.3929788961038961,0.5639204545454546,0.5778814935064935
Apothekersassistenten,0.9119724025974026,0.8166801948051948,0.9850243506493507,0.004788961038961039,0.9048295454545454,0.6415178571428571,0.9582386363636364,0.6721996753246753,0.999797077922078,0.7770698051948052,0.9981737012987013,0.8523944805194805,0.6523944805194806,0.6196834415584416,0.7918425324675324,0.9481737012987013,0.6196834415584416,0.8976866883116883,0.8385957792207792,0.4420048701298701,0.9999594155844156,0.997362012987013,0.9885957792207792,0.6454139610389611,0.9937905844155844,0.8506087662337662,0.9773944805194805,0.9950892857142857,0.2754464285714286,0.674310064935065,0.734375,0.7882711038961039,0.9996347402597403,0.9976866883116883,0.906452922077922,0.6960633116883117,0.44882305194805194,0.9595373376623376,0.2301542207792208,0.8183035714285715,0.9830762987012988,0.7996347402597402,0.908887987012987,0.9741477272727272,0.7941152597402598,0.7145698051948052,0.18810876623376624,0.2949269480519481,0.6092126623376624,0.8335633116883117,0.9304788961038961,0.48015422077922076,0.932426948051948,0.9442775974025974,0.9989042207792208,0.2759334415584416,0.183887987012987,0.9994724025974026,0.3639204545454545,0.9989042207792208,0.9900568181818182,0.9256087662337662,0.9619724025974026,0.9520698051948052,0.8984983766233766,0.983400974025974,0.6634334415584415,0.9944399350649351,0.9451704545454546,0.8757711038961039,0.9536931818181819,0.5418425324675324,0.8804788961038961,0.0679788961038961,0.8312905844155845,0.9991477272727273,0.9145698051948052,0.9746347402597403,0.5400568181818182,0.6778814935064935,0.8493912337662337,0.9377840909090909,0.8493912337662337,0.9954139610389611,0.8832386363636363,0.995900974025974,0.970900974025974,0.3869724025974026,0.9772321428571429,0.555965909090909,0.5960633116883117,0.996875,0.43599837662337665,0.4226866883116883,0.9655438311688311,0.41943993506493504,0.9825892857142857,0.6243100649350649,0.9710633116883117,0.9986607142857142,0.9579139610389611,0.8423295454545454,0.9451704545454546,0.5907061688311688,0.1689529220779221,0.933887987012987,0.21684253246753246,0.9984983766233766,0.9096996753246753,0.8265827922077922,0.8196022727272727
Architecten,0.03356331168831169,0.22674512987012987,0.40515422077922075,0.9048295454545454,0.004788961038961039,0.5124594155844155,0.2265827922077922,0.4681412337662338,0.6170048701298702,0.31473214285714285,0.5726866883116883,0.14525162337662337,0.49768668831168833,0.5360795454545455,0.2773944805194805,0.18242694805194806,0.5360795454545455,0.030965909090909093,0.1757711038961039,0.6923295454545455,0.6420048701298702,0.5449269480519481,0.43729707792207795,0.5071022727272727,0.48145292207792206,0.14801136363636364,0.3494724025974026,0.5007711038961039,0.7934659090909091,0.46635551948051945,0.38713474025974026,0.2851866883116883,0.6111607142857143,0.5601866883116883,0.011810064935064936,0.43989448051948055,0.6881087662337663,0.23551136363636363,0.8152191558441558,0.22219967532467533,0.3918425324675325,0.2648944805194805,0.019439935064935066,0.33031655844155844,0.2739853896103896,0.4173295454545455,0.834375,0.7851866883116884,0.5465503246753247,0.18924512987012987,0.10353084415584415,0.6642451298701298,0.11489448051948052,0.17008928571428572,0.5878652597402597,0.7931412337662338,0.8356737012987013,0.6043425324675324,0.7471996753246753,0.5878652597402597,0.4452516233766234,0.08388798701298701,0.24411525974025974,0.19703733766233766,0.028368506493506494,0.39411525974025974,0.4812905844155844,0.4864853896103896,0.17406655844155844,0.08681006493506493,0.20742694805194806,0.6147321428571428,0.07690746753246754,0.8827516233766234,0.19362824675324675,0.5920048701298701,0.03827110389610389,0.3345373376623377,0.6155438311688312,0.4616477272727273,0.1513392857142857,0.1369724025974026,0.1513392857142857,0.5043425324675325,0.06668019480519481,0.5158685064935065,0.3007711038961039,0.7346996753246753,0.34752435064935067,0.5997970779220779,0.5600243506493506,0.5424918831168831,0.7001217532467533,0.710836038961039,0.2629464285714286,0.7131087662337663,0.38762175324675324,0.5322646103896104,0.30304383116883116,0.5850243506493507,0.22349837662337663,0.16879058441558442,0.17406655844155844,0.5648944805194805,0.8420048701298701,0.12284902597402597,0.8202516233766234,0.5830762987012987,0.021550324675324674,0.20385551948051947,0.21862824675324674
Artsen,0.5303165584415584,0.31732954545454545,0.7795048701298701,0.6415178571428571,0.5124594155844155,0.004788961038961039,0.6673295454545455,0.06245941558441558,0.8934659090909091,0.22934253246753247,0.8674918831168831,0.39671266233766234,0.026907467532467533,0.041599025974025976,0.2650568181818182,0.6392451298701298,0.041599025974025976,0.4952516233766234,0.3653814935064935,0.2645698051948052,0.9049918831168832,0.8540178571428572,0.7965503246753247,0.014732142857142857,0.8191152597402598,0.3937905844155844,0.7486607142857142,0.8286931818181819,0.43258928571428573,0.06635551948051949,0.1541801948051948,0.2572646103896104,0.8895698051948052,0.8606737012987012,0.5144074675324676,0.09833603896103896,0.2575892857142857,0.671387987012987,0.47284902597402595,0.32203733766233766,0.7744724025974026,0.27755681818181815,0.5204139610389611,0.7377840909090909,0.2683035714285714,0.12382305194805195,0.5090503246753246,0.4153814935064935,0.05710227272727273,0.35401785714285716,0.5814529220779221,0.22122564935064934,0.5887581168831169,0.6319399350649351,0.8760146103896104,0.4316152597402597,0.5137581168831169,0.8850243506493507,0.346387987012987,0.8760146103896104,0.8014204545454545,0.5666801948051948,0.6773944805194805,0.6494724025974026,0.49703733766233765,0.7759334415584416,0.047199675324675325,0.8209009740259741,0.6354301948051948,0.44833603896103896,0.6556412337662337,0.146875,0.45791396103896104,0.6007711038961039,0.35060876623376624,0.8782061688311689,0.534375,0.7407061688311688,0.14931006493506493,0.07106331168831169,0.39030032467532466,0.6075892857142857,0.39030032467532466,0.8311282467532467,0.4661931818181818,0.8364853896103897,0.7197646103896104,0.3252840909090909,0.7475243506493506,0.12934253246753247,0.07593344155844156,0.8517451298701298,0.27122564935064936,0.2845373376623377,0.6911931818181818,0.2903814935064935,0.7721996753246754,0.03616071428571429,0.7217126623376623,0.8744724025974026,0.6660308441558441,0.37219967532467535,0.6354301948051948,0.0830762987012987,0.5262581168831169,0.5955762987012987,0.483887987012987,0.873336038961039,0.5228490259740259,0.34021915584415585,0.3257711038961039
Assemblagemedewerkers,0.20482954545454546,0.43518668831168833,0.19655032467532468,0.9582386363636364,0.2265827922077922,0.6673295454545455,0.004788961038961039,0.636810064935065,0.4439529220779221,0.5101866883116883,0.3890827922077922,0.35531655844155846,0.6569399350649351,0.689650974025974,0.4799918831168831,0.056615259740259744,0.689650974025974,0.24914772727272727,0.3856737012987013,0.8109983766233766,0.4755275974025974,0.35775162337662336,0.23096590909090908,0.6640827922077922,0.2793425324675325,0.35710227272727274,0.13729707792207793,0.3027191558441558,0.8861607142857143,0.6345373376623377,0.5709009740259741,0.4863230519480519,0.4374594155844156,0.37479707792207795,0.2226866883116883,0.6131087662337662,0.808887987012987,0.017167207792207793,0.9045048701298701,0.429586038961039,0.18323863636363635,0.4671672077922078,0.21765422077922078,0.1171672077922078,0.4755275974025974,0.5929788961038961,0.9174918831168831,0.8777191558441558,0.7004464285714286,0.398336038961039,0.13859577922077923,0.7916801948051948,0.12869318181818182,0.07041396103896104,0.41237824675324675,0.885349025974026,0.9187905844155844,0.4304788961038961,0.8476866883116884,0.41237824675324675,0.2424918831168831,0.159375,0.02463474025974026,0.04135551948051948,0.24671266233766234,0.1851866883116883,0.6465503246753247,0.28534902597402595,0.06521915584415584,0.29931006493506496,0.030316558441558443,0.7536931818181818,0.2885957792207792,0.9447646103896103,0.40271915584415585,0.4160308441558442,0.19931006493506492,0.12333603896103897,0.7549918831168831,0.631452922077922,0.3601055194805195,0.1054788961038961,0.3601055194805195,0.309375,0.27885551948051945,0.3215503246753247,0.08859577922077921,0.837297077922078,0.13583603896103896,0.743465909090909,0.7116477272727273,0.35434253246753245,0.8157061688311689,0.8207386363636363,0.045900974025974026,0.8220373376623377,0.17853084415584416,0.686323051948052,0.09086850649350649,0.40726461038961037,0.010349025974025974,0.37804383116883117,0.06521915584415584,0.7173295454545454,0.922849025974026,0.1192775974025974,0.9092126623376623,0.4049918831168831,0.21424512987012986,0.4132711038961039,0.42723214285714284
Auteurs en taalkundigen,0.4874594155844156,0.2657061688311688,0.7530438311688312,0.6721996753246753,0.4681412337662338,0.06245941558441558,0.636810064935065,0.004788961038961039,0.8707386363636364,0.17950487012987013,0.8452516233766234,0.3484983766233766,0.0429788961038961,0.09679383116883117,0.2135957792207792,0.6022321428571429,0.09679383116883117,0.4499594155844156,0.3184659090909091,0.3145698051948052,0.8858360389610389,0.831939935064935,0.7728490259740259,0.05629058441558442,0.7967126623376624,0.34606331168831167,0.7187905844155844,0.8062905844155844,0.4757711038961039,0.010998376623376624,0.10369318181818182,0.20661525974025974,0.8678165584415585,0.839650974025974,0.4707386363636364,0.04346590909090909,0.30872564935064933,0.6405438311688312,0.5170048701298702,0.2694399350649351,0.7450892857142857,0.22853084415584415,0.4765827922077922,0.7043425324675324,0.21814123376623376,0.07090097402597402,0.5484983766233766,0.459375,0.11262175324675325,0.3054788961038961,0.5408685064935065,0.271387987012987,0.549310064935065,0.5931412337662337,0.8558847402597403,0.47512175324675326,0.5525568181818182,0.8642451298701299,0.3947646103896104,0.8558847402597403,0.7782061688311688,0.5278814935064935,0.646875,0.6135957792207792,0.4512581168831169,0.7465503246753247,0.024147727272727272,0.799310064935065,0.5966314935064935,0.40353084415584417,0.6231737012987013,0.19784902597402598,0.41392045454545456,0.6387581168831169,0.2999594155844156,0.8577516233766234,0.49443993506493505,0.7082386363636364,0.20012175324675324,0.017329545454545455,0.34289772727272727,0.5694399350649351,0.34289772727272727,0.809375,0.42155032467532466,0.8137581168831168,0.683887987012987,0.371875,0.7183035714285714,0.1786931818181818,0.1270698051948052,0.8298295454545455,0.3243100649350649,0.3371347402597403,0.6587256493506494,0.34151785714285715,0.7431412337662338,0.09265422077922078,0.6856737012987013,0.8536931818181818,0.634862012987013,0.32593344155844156,0.5966314935064935,0.13421266233766233,0.5637581168831168,0.5564529220779221,0.5273944805194806,0.8525568181818182,0.4796672077922078,0.2895698051948052,0.27301136363636364
Automonteurs,0.5986607142857143,0.7569399350649351,0.2697646103896104,0.999797077922078,0.6170048701298702,0.8934659090909091,0.4439529220779221,0.8707386363636364,0.004788961038961039,0.8002840909090909,0.07447240259740259,0.7053165584415585,0.884375,0.9042613636363637,0.7826704545454546,0.48453733766233764,0.9042613636363637,0.6325892857142857,0.7267451298701298,0.9590503246753247,0.04671266233766234,0.10791396103896105,0.23762175324675325,0.8920048701298702,0.1864853896103896,0.7066152597402597,0.3301542207792208,0.16456980519480519,0.984375,0.8700892857142857,0.833400974025974,0.7864853896103896,0.01895292207792208,0.08908279220779221,0.6149756493506493,0.8575892857142857,0.9571022727272728,0.4387581168831169,0.9892451298701299,0.7532061688311689,0.28210227272727273,0.7772321428571428,0.6105113636363636,0.34931006493506495,0.7806412337662337,0.846387987012987,0.9936282467532468,0.9816152597402598,0.909375,0.7342126623376624,0.548336038961039,0.9492288961038962,0.5397321428571429,0.49622564935064933,0.049391233766233764,0.9840503246753247,0.9941152597402597,0.025771103896103896,0.972362012987013,0.049391233766233764,0.22471590909090908,0.5631087662337663,0.4321834415584416,0.47171266233766235,0.6305600649350649,0.28039772727272727,0.8767451298701299,0.1804788961038961,0.4909496753246753,0.6647321428571429,0.46262175324675325,0.9316152597402597,0.6592126623376623,0.998336038961039,0.7369724025974026,0.04281655844155844,0.5952516233766234,0.3442775974025974,0.9321022727272728,0.8686282467532468,0.7096185064935064,0.5235795454545454,0.7096185064935064,0.15969967532467533,0.653125,0.1455762987012987,0.37544642857142857,0.9692775974025974,0.3314529220779221,0.9286931818181818,0.9137581168831169,0.11245941558441558,0.9606737012987013,0.9637581168831169,0.4148944805194805,0.9647321428571428,0.28745941558441557,0.9023944805194806,0.3736607142857143,0.052719155844155846,0.4460633116883117,0.7230113636363636,0.4909496753246753,0.9158685064935065,0.9947646103896104,0.5335633116883117,0.9913555194805195,0.055316558441558444,0.607913961038961,0.7426542207792208,0.7506899350649351
Bakkers,0.3369724025974026,0.10223214285714285,0.6477678571428571,0.7770698051948052,0.31473214285714285,0.22934253246753247,0.5101866883116883,0.17950487012987013,0.8002840909090909,0.004788961038961039,0.7708198051948052,0.18551136363636364,0.21107954545454546,0.2617288961038961,0.04638798701298701,0.47025162337662335,0.2617288961038961,0.29443993506493504,0.15385551948051948,0.4679788961038961,0.8161931818181818,0.7533685064935065,0.6683035714285714,0.22284902597402598,0.7041801948051948,0.1830762987012987,0.6054788961038962,0.7196022727272727,0.6077516233766234,0.17642045454545455,0.09054383116883116,0.037134740259740256,0.7955762987012988,0.7638392857142857,0.31887175324675326,0.14598214285714287,0.46181006493506493,0.5165178571428571,0.6408685064935065,0.1080762987012987,0.6385957792207793,0.06148538961038961,0.3256087662337662,0.5897321428571428,0.05093344155844156,0.12138798701298702,0.6670048701298701,0.5926542207792208,0.2741477272727273,0.14078733766233767,0.4004464285714286,0.4321834415584416,0.4114853896103896,0.45994318181818183,0.7815340909090909,0.6067775974025974,0.6697646103896104,0.7908685064935065,0.5368912337662337,0.7815340909090909,0.6753652597402597,0.3810470779220779,0.5235795454545454,0.4825892857142857,0.2958198051948052,0.6394886363636364,0.1942775974025974,0.7085633116883117,0.4648944805194805,0.24338474025974027,0.49387175324675325,0.35823863636363634,0.2533685064935065,0.7454951298701299,0.13616071428571427,0.784375,0.34289772727272727,0.593952922077922,0.36034902597402596,0.1715503246753247,0.17901785714285715,0.4321834415584416,0.17901785714285715,0.7239853896103896,0.2617288961038961,0.7311282467532467,0.5687905844155844,0.5199269480519481,0.6041801948051948,0.3421672077922078,0.29021915584415586,0.7502840909090909,0.4752840909090909,0.4876217532467532,0.5368912337662337,0.49184253246753246,0.6366477272727272,0.2567775974025974,0.5710633116883117,0.7796672077922078,0.507913961038961,0.16205357142857144,0.4648944805194805,0.29801136363636366,0.6808035714285714,0.41814123376623374,0.6499594155844156,0.7786931818181818,0.3286931818181818,0.1262581168831169,0.11132305194805195
