SOURCE GROUP /// TARGET GROUP -->,Accountants,"Adviseurs marketing, public relations en sales",Algemeen directeuren,Apothekersassistenten,Architecten,Artsen,Assemblagemedewerkers,Auteurs en taalkundigen,Automonteurs,Bakkers,Bedieners mobiele machines,Bedrijfskundigen en organisatieadviseurs,Beeldend kunstenaars,Beleidsadviseurs,Beroepsgroep sportinstructeurs,Beveiligingspersoneel,Bibliothecarissen en conservatoren,Biologen en natuurwetenschappers,Boekhouders,Boekhoudkundig medewerkers,Bouwarbeiders afbouw,Bouwarbeiders ruwbouw,Buschauffeurs en trambestuurders,Callcentermedewerkers outbound en overige verkopers,"Chauffeurs auto's, taxi's en bestelwagens",Conciërges en teamleiders schoonmaak,Databank- en netwerkspecialisten,Dekofficieren en piloten,Directiesecretaresses,Docenten algemene vakken secundair onderwijs,Docenten beroepsgerichte vakken secundair onderwijs,Docenten hoger onderwijs en hoogleraren,Elektriciens en elektronicamonteurs,Elektrotechnisch ingenieurs,Financieel specialisten en economen,Fotografen en interieurontwerpers,Fysiotherapeuten,Gebruikersondersteuning ICT,Gespecialiseerd verpleegkundigen,Grafisch vormgevers en productontwerpers,"Hoveniers, tuinders en kwekers",Hulpkrachten bouw en industrie,Hulpkrachten landbouw,Ingenieurs (geen elektrotechniek),Journalisten,Juristen,Kappers en schoonheidsspecialisten,Kassamedewerkers,Kelners en barpersoneel,Keukenhulpen,Koks,Laboranten,"Laders, lossers en vakkenvullers",Land- en bosbouwers,Lassers en plaatwerkers,Leerkrachten basisonderwijs,Leidsters kinderopvang en onderwijsassistenten,Loodgieters en pijpfitters,Maatschappelijk werkers,Machinemonteurs,Managers ICT,Managers commerciële en persoonlijke dienstverlening,Managers detail- en groothandel,Managers gespecialiseerde dienstverlening,Managers horeca,Managers logistiek,Managers onderwijs,Managers productie,Managers verkoop en marketing,Managers zakelijke en administratieve dienstverlening,Managers zonder specificatie,Managers zorginstellingen,Medewerkers drukkerij en kunstnijverheid,Medisch praktijkassistenten,Medisch vakspecialisten,Metaalbewerkers en constructiewerkers,"Meubelmakers, kleermakers en stoffeerders",Militaire beroepen,Onderwijskundigen en overige docenten,Overheidsambtenaren,Overheidsbestuurders,Politie en brandweer,Politie-inspecteurs,Procesoperators,Productcontroleurs,Productieleiders industrie en bouw,Productiemachinebedieners,Psychologen en sociologen,Radio- en televisietechnici,Receptionisten en telefonisten,Reisbegeleiders,Schilders en metaalspuiters,Schoonmakers,Secretaresses en administratief medewerkers,Slagers,"Sociaal werkers, groeps- en woonbegeleiders",Software- en applicatieontwikkelaars,Specialisten personeels- en loopbaanontwikkeling,Technici bouwkunde en natuur,Timmerlieden,Transportplanners en logistiek medewerkers,Uitvoerend kunstenaars,Veetelers,Verkoopmedewerkers detailhandel,Verpleegkundigen (mbo),Vertegenwoordigers en inkopers,Verzorgenden en verleners van overige persoonlijke diensten,Vrachtwagenchauffeurs,Vuilnisophalers en dagbladenbezorgers,Winkeliers en teamleiders detailhandel,Zakelijke dienstverleners
Accountants,0.006412337662337663,0.2692775974025974,0.6684659090909091,0.800689935064935,0.28015422077922075,0.3008522727272727,0.845413961038961,0.5364042207792208,0.859375,0.9170860389610389,0.7898944805194805,0.03835227272727273,0.6262581168831168,0.06310876623376624,0.8611607142857143,0.7657873376623376,0.5976866883116884,0.3416801948051948,0.4939529220779221,0.7376217532467533,0.7481737012987013,0.8133522727272727,0.7139204545454545,0.8567775974025974,0.9114042207792208,0.781452922077922,0.28015422077922075,0.3070211038961039,0.6321834415584415,0.2765827922077922,0.3996347402597403,0.1744724025974026,0.769439935064935,0.3265827922077922,0.06310876623376624,0.7964691558441559,0.529099025974026,0.6321834415584415,0.44703733766233766,0.6649756493506493,0.8639204545454545,0.9147321428571429,0.9519886363636364,0.2547483766233766,0.37674512987012987,0.13583603896103896,0.9075081168831168,0.9676542207792208,0.9505275974025974,0.9722808441558441,0.8876217532467533,0.6649756493506493,0.9618100649350649,0.7376217532467533,0.800689935064935,0.4726866883116883,0.8542613636363636,0.7798295454545454,0.5775568181818181,0.7481737012987013,0.5842126623376623,0.33762175324675325,0.3638392857142857,0.4810470779220779,0.7139204545454545,0.05523538961038961,0.4523944805194805,0.3416801948051948,0.4876217532467532,0.4145698051948052,0.4219561688311688,0.03835227272727273,0.8567775974025974,0.7756899350649351,0.5450892857142857,0.7841314935064935,0.8835633116883117,0.33056006493506496,0.3894074675324675,0.4726866883116883,0.5712256493506493,0.4842938311688312,0.4768262987012987,0.2547483766233766,0.7841314935064935,0.3996347402597403,0.7567775974025974,0.2871347402597403,0.6361607142857143,0.8186282467532467,0.7460633116883116,0.8304788961038961,0.9084821428571429,0.7881087662337662,0.8835633116883117,0.7278814935064936,0.19581980519480519,0.4244724025974026,0.5390016233766234,0.8304788961038961,0.7376217532467533,0.4842938311688312,0.8186282467532467,0.9295048701298702,0.6802353896103897,0.2692775974025974,0.8133522727272727,0.845413961038961,0.9054788961038961,0.7964691558441559,0.45872564935064936
"Adviseurs marketing, public relations en sales",0.2692775974025974,0.006412337662337663,0.8037743506493507,0.6649756493506493,0.023173701298701298,0.514163961038961,0.7321834415584415,0.3265827922077922,0.7567775974025974,0.8519886363636363,0.6506899350649351,0.2424918831168831,0.4244724025974026,0.31489448051948055,0.7592938311688312,0.6071834415584415,0.3971185064935065,0.09606331168831168,0.2765827922077922,0.5677353896103896,0.5812094155844156,0.6825081168831169,0.5364042207792208,0.7506087662337663,0.8433035714285714,0.6361607142857143,0.023173701298701298,0.05523538961038961,0.4303977272727273,0.01765422077922078,0.16651785714285713,0.11043019480519481,0.6155438311688312,0.0760146103896104,0.31489448051948055,0.6583198051948052,0.3195211038961039,0.4303977272727273,0.22171266233766235,0.4726866883116883,0.7630275974025974,0.8496347402597403,0.8998782467532468,0.023173701298701298,0.14208603896103897,0.37122564935064933,0.8364042207792208,0.9256087662337662,0.8950892857142857,0.9347808441558442,0.8085633116883116,0.4726866883116883,0.9147321428571429,0.5677353896103896,0.6649756493506493,0.25044642857142857,0.7460633116883116,0.6321834415584415,0.37122564935064933,0.5812094155844156,0.7506087662337663,0.09086850649350649,0.12739448051948052,0.672849025974026,0.5364042207792208,0.22609577922077922,0.6485795454545454,0.5489853896103896,0.677637987012987,0.6155438311688312,0.6234172077922078,0.2424918831168831,0.7506087662337663,0.6262581168831168,0.33762175324675325,0.6429788961038961,0.7976866883116883,0.08047889610389611,0.15588474025974025,0.25044642857142857,0.7400568181818182,0.26416396103896106,0.2547483766233766,0.023173701298701298,0.6429788961038961,0.16651785714285713,0.5945211038961039,0.03356331168831169,0.43445616883116883,0.6931412337662337,0.5775568181818181,0.7113230519480519,0.8389204545454545,0.6475243506493507,0.7976866883116883,0.5547483766233766,0.0859172077922078,0.19581980519480519,0.33056006493506496,0.7113230519480519,0.5677353896103896,0.26416396103896106,0.6931412337662337,0.8674918831168831,0.49054383116883116,0.006412337662337663,0.6825081168831169,0.7321834415584415,0.833400974025974,0.6583198051948052,0.23323863636363637
Algemeen directeuren,0.6684659090909091,0.8037743506493507,0.006412337662337663,0.9748782467532467,0.8107548701298701,0.44443993506493507,0.9846996753246753,0.9015827922077922,0.9878652597402597,0.9959821428571428,0.9734983766233766,0.6857548701298701,0.9295048701298702,0.6339691558441558,0.9881087662337662,0.9671672077922078,0.9220373376623376,0.8344561688311688,0.8876217532467533,0.9596996753246754,0.9628652597402597,0.9782061688311688,0.9527191558441559,0.9870535714285714,0.9954139610389611,0.971387987012987,0.8107548701298701,0.8201704545454546,0.9308847402597402,0.8075892857142857,0.8587256493506493,0.7592938311688312,0.9687905844155844,0.827150974025974,0.6339691558441558,0.9743912337662337,0.8985795454545454,0.9308847402597402,0.8747159090909091,0.9409496753246753,0.9882711038961038,0.9955762987012987,0.9991477272727273,0.7964691558441559,0.8519886363636363,0.5793425324675324,0.9946022727272728,0.999797077922078,0.9989042207792208,0.9999594155844156,0.9923295454545454,0.9409496753246753,0.9996347402597403,0.9596996753246754,0.9748782467532467,0.881534090909091,0.9864042207792207,0.9711444805194805,0.9147321428571429,0.9628652597402597,0.1301542207792208,0.8322646103896104,0.845413961038961,0.26416396103896106,0.9527191558441559,0.6950081168831169,0.29395292207792206,0.40588474025974025,0.2547483766233766,0.3351866883116883,0.3265827922077922,0.6857548701298701,0.9870535714285714,0.970413961038961,0.9054788961038961,0.9722808441558441,0.9910308441558442,0.8286931818181819,0.8556412337662338,0.881534090909091,0.1471185064935065,0.8846185064935065,0.8827516233766234,0.7964691558441559,0.9722808441558441,0.8587256493506493,0.9647321428571428,0.8133522727272727,0.9321834415584416,0.9798295454545455,0.9618100649350649,0.9821834415584415,0.9950892857142857,0.9729301948051948,0.9910308441558442,0.9570211038961038,0.769439935064935,0.8665990259740259,0.9030438311688311,0.9821834415584415,0.9596996753246754,0.8846185064935065,0.9798295454545455,0.997362012987013,0.9450892857142857,0.8037743506493507,0.9782061688311688,0.9846996753246753,0.9944399350649351,0.9743912337662337,0.8787743506493506
Apothekersassistenten,0.800689935064935,0.6649756493506493,0.9748782467532467,0.006412337662337663,0.6562905844155844,0.8916801948051948,0.13226461038961038,0.4178977272727273,0.1744724025974026,0.3830762987012987,0.03356331168831169,0.7881087662337662,0.3195211038961039,0.8217938311688312,0.17804383116883116,0.09086850649350649,0.3484172077922078,0.6037743506493507,0.46643668831168833,0.1471185064935065,0.12739448051948052,0.03835227272727273,0.18770292207792208,0.16367694805194805,0.3638392857142857,0.05523538961038961,0.6562905844155844,0.6361607142857143,0.31083603896103895,0.6583198051948052,0.5520698051948052,0.7203327922077922,0.08047889610389611,0.6189529220779221,0.8217938311688312,0.01765422077922078,0.4244724025974026,0.31083603896103895,0.5085633116883117,0.2692775974025974,0.18770292207792208,0.37674512987012987,0.5364042207792208,0.6751217532467533,0.5712256493506493,0.8470373376623377,0.3484172077922078,0.6155438311688312,0.5237418831168831,0.6464691558441559,0.28226461038961037,0.2692775974025974,0.5812094155844156,0.1471185064935065,0.006412337662337663,0.4876217532467532,0.15588474025974025,0.06018668831168831,0.3677353896103896,0.12739448051948052,0.962297077922078,0.6071834415584415,0.5812094155844156,0.9421672077922078,0.18770292207792208,0.781452922077922,0.935836038961039,0.9054788961038961,0.9441152597402598,0.9256087662337662,0.927637987012987,0.7881087662337662,0.16367694805194805,0.06757305194805195,0.40588474025974025,0.046875,0.2609172077922078,0.6155438311688312,0.5610795454545454,0.4876217532467532,0.9596996753246754,0.4768262987012987,0.4842938311688312,0.6751217532467533,0.046875,0.5520698051948052,0.11043019480519481,0.6506899350649351,0.3070211038961039,0.05523538961038961,0.13226461038961038,0.09086850649350649,0.3522321428571429,0.03835227272727273,0.2609172077922078,0.16367694805194805,0.7096996753246754,0.529099025974026,0.4145698051948052,0.09086850649350649,0.1471185064935065,0.4768262987012987,0.05523538961038961,0.4288555194805195,0.246875,0.6649756493506493,0.03835227272727273,0.13226461038961038,0.34411525974025975,0.01765422077922078,0.4992288961038961
Architecten,0.28015422077922075,0.023173701298701298,0.8107548701298701,0.6562905844155844,0.006412337662337663,0.5260957792207792,0.7264204545454546,0.31489448051948055,0.7506087662337663,0.8470373376623377,0.6429788961038961,0.2547483766233766,0.4145698051948052,0.3265827922077922,0.7529626623376623,0.5976866883116884,0.3856737012987013,0.08047889610389611,0.26416396103896106,0.5577516233766234,0.5712256493506493,0.6751217532467533,0.5260957792207792,0.7429788961038961,0.8398133116883116,0.6262581168831168,0.006412337662337663,0.04257305194805195,0.42098214285714286,0.014001623376623376,0.15588474025974025,0.12309253246753246,0.6037743506493507,0.06310876623376624,0.3265827922077922,0.6506899350649351,0.3070211038961039,0.42098214285714286,0.20848214285714287,0.4622970779220779,0.7567775974025974,0.8433035714285714,0.8960633116883117,0.03835227272727273,0.12739448051948052,0.3856737012987013,0.8304788961038961,0.9226055194805195,0.8916801948051948,0.9308847402597402,0.8022321428571428,0.4622970779220779,0.9114042207792208,0.5577516233766234,0.6562905844155844,0.2372159090909091,0.7376217532467533,0.6221185064935065,0.3586444805194805,0.5712256493506493,0.7567775974025974,0.0760146103896104,0.11473214285714285,0.6812905844155844,0.5260957792207792,0.23892045454545455,0.6571834415584416,0.558887987012987,0.6857548701298701,0.6262581168831168,0.6339691558441558,0.2547483766233766,0.7429788961038961,0.6155438311688312,0.3265827922077922,0.6321834415584415,0.791112012987013,0.06757305194805195,0.14208603896103897,0.2372159090909091,0.7481737012987013,0.25044642857142857,0.2424918831168831,0.03835227272727273,0.6321834415584415,0.15588474025974025,0.5842126623376623,0.01765422077922078,0.4244724025974026,0.684862012987013,0.5677353896103896,0.7044237012987012,0.833400974025974,0.6389204545454545,0.791112012987013,0.5450892857142857,0.10255681818181818,0.18137175324675325,0.3195211038961039,0.7044237012987012,0.5577516233766234,0.25044642857142857,0.684862012987013,0.8639204545454545,0.4799107142857143,0.023173701298701298,0.6751217532467533,0.7264204545454546,0.8278003246753247,0.6506899350649351,0.22171266233766235
Artsen,0.3008522727272727,0.514163961038961,0.44443993506493507,0.8916801948051948,0.5260957792207792,0.006412337662337663,0.9226055194805195,0.7346996753246753,0.9316152597402597,0.9680600649350649,0.8882711038961039,0.3265827922077922,0.7920048701298701,0.2547483766233766,0.9329139610389611,0.8756087662337663,0.7773944805194806,0.5775568181818181,0.7044237012987012,0.8600243506493507,0.8655438311688312,0.8998782467532468,0.8470373376623377,0.9287743506493507,0.9650568181818182,0.8835633116883117,0.5260957792207792,0.547849025974026,0.795413961038961,0.5213068181818182,0.6321834415584415,0.4381899350649351,0.8773133116883117,0.5627840909090909,0.2547483766233766,0.8900568181818181,0.7295860389610389,0.795413961038961,0.6717126623376624,0.8169237012987013,0.9347808441558442,0.9665178571428571,0.984375,0.5046672077922078,0.6106737012987012,0.18770292207792208,0.962297077922078,0.9892451298701299,0.983400974025974,0.9917613636363637,0.9505275974025974,0.8169237012987013,0.9884334415584416,0.8600243506493507,0.8916801948051948,0.689163961038961,0.9269074675324676,0.8824269480519481,0.7645698051948052,0.8655438311688312,0.3484172077922078,0.5733360389610389,0.5996347402597403,0.2249594155844156,0.8470373376623377,0.3395698051948052,0.19200487012987014,0.058319805194805195,0.23137175324675324,0.1471185064935065,0.159862012987013,0.3265827922077922,0.9287743506493507,0.8803977272727272,0.7429788961038961,0.8854301948051948,0.947849025974026,0.5677353896103896,0.6221185064935065,0.689163961038961,0.3351866883116883,0.6967126623376624,0.6931412337662337,0.5046672077922078,0.8854301948051948,0.6321834415584415,0.8694399350649351,0.5316964285714286,0.7986607142857143,0.904099025974026,0.8645698051948052,0.9122159090909091,0.9632711038961039,0.8868912337662338,0.947849025974026,0.8567775974025974,0.4569399350649351,0.6528814935064935,0.7376217532467533,0.9122159090909091,0.8600243506493507,0.6967126623376624,0.904099025974026,0.9736607142857143,0.8241477272727272,0.514163961038961,0.8998782467532468,0.9226055194805195,0.9611607142857143,0.8900568181818181,0.6802353896103897
Assemblagemedewerkers,0.845413961038961,0.7321834415584415,0.9846996753246753,0.13226461038961038,0.7264204545454546,0.9226055194805195,0.006412337662337663,0.5117288961038962,0.05523538961038961,0.28226461038961037,0.15588474025974025,0.8364042207792208,0.4178977272727273,0.8625405844155845,0.06018668831168831,0.20848214285714287,0.44703733766233766,0.6878652597402597,0.5547483766233766,0.2591314935064935,0.2424918831168831,0.1059659090909091,0.29703733766233764,0.04257305194805195,0.26416396103896106,0.1744724025974026,0.7264204545454546,0.7096996753246754,0.4106737012987013,0.7278814935064936,0.6429788961038961,0.781452922077922,0.19995941558441557,0.6980113636363636,0.8625405844155845,0.14208603896103897,0.5182224025974026,0.4106737012987013,0.5976866883116884,0.3677353896103896,0.06757305194805195,0.2765827922077922,0.4422483766233766,0.7400568181818182,0.6583198051948052,0.8803977272727272,0.2424918831168831,0.5260957792207792,0.4288555194805195,0.5566152597402597,0.1682224025974026,0.3677353896103896,0.4939529220779221,0.2591314935064935,0.13226461038961038,0.5747159090909091,0.03356331168831169,0.17804383116883116,0.4695211038961039,0.2424918831168831,0.9754464285714286,0.6904626623376623,0.6684659090909091,0.9591314935064935,0.29703733766233764,0.8286931818181819,0.9537743506493507,0.9321834415584416,0.9606737012987013,0.9474431818181818,0.9493912337662338,0.8364042207792208,0.04257305194805195,0.18770292207792208,0.5022321428571429,0.16651785714285713,0.1497159090909091,0.6950081168831169,0.6506899350649351,0.5747159090909091,0.9740665584415584,0.5644074675324675,0.5712256493506493,0.7400568181818182,0.16651785714285713,0.6429788961038961,0.22609577922077922,0.7203327922077922,0.40588474025974025,0.0859172077922078,0.246875,0.050852272727272725,0.24890422077922078,0.16107954545454545,0.1497159090909091,0.2765827922077922,0.7719561688311688,0.6189529220779221,0.5085633116883117,0.050852272727272725,0.2591314935064935,0.5644074675324675,0.0859172077922078,0.3333198051948052,0.35142045454545456,0.7321834415584415,0.1059659090909091,0.006412337662337663,0.23559253246753248,0.14208603896103897,0.5881087662337663
Auteurs en taalkundigen,0.5364042207792208,0.3265827922077922,0.9015827922077922,0.4178977272727273,0.31489448051948055,0.7346996753246753,0.5117288961038962,0.006412337662337663,0.5450892857142857,0.7064529220779221,0.3996347402597403,0.514163961038961,0.13226461038961038,0.5733360389610389,0.5489853896103896,0.35142045454545456,0.09606331168831168,0.25044642857142857,0.06757305194805195,0.3070211038961039,0.3235795454545455,0.4394074675324675,0.2692775974025974,0.5364042207792208,0.6950081168831169,0.3817775974025974,0.31489448051948055,0.2871347402597403,0.14208603896103897,0.3195211038961039,0.18137175324675325,0.40588474025974025,0.3559659090909091,0.2692775974025974,0.5733360389610389,0.4106737012987013,0.01765422077922078,0.14208603896103897,0.12739448051948052,0.18770292207792208,0.5547483766233766,0.7024756493506493,0.800689935064935,0.33762175324675325,0.20848214285714287,0.6286931818181818,0.6825081168831169,0.8410308441558442,0.7933847402597403,0.8567775974025974,0.6303165584415584,0.18770292207792208,0.8244724025974026,0.3070211038961039,0.4178977272727273,0.09606331168831168,0.529099025974026,0.37674512987012987,0.06757305194805195,0.3235795454545455,0.8741477272727273,0.2547483766233766,0.22171266233766235,0.8286931818181819,0.2692775974025974,0.5022321428571429,0.8172483766233766,0.7592938311688312,0.8322646103896104,0.7986607142857143,0.8037743506493507,0.514163961038961,0.5364042207792208,0.3677353896103896,0.023173701298701298,0.3894074675324675,0.6133522727272728,0.26416396103896106,0.19581980519480519,0.09606331168831168,0.8687094155844156,0.08047889610389611,0.09086850649350649,0.33762175324675325,0.3894074675324675,0.18137175324675325,0.33762175324675325,0.3070211038961039,0.1471185064935065,0.4552353896103896,0.3195211038961039,0.4842938311688312,0.6864853896103896,0.3971185064935065,0.6133522727272728,0.2910308441558442,0.3894074675324675,0.15588474025974025,0.014001623376623376,0.4842938311688312,0.3070211038961039,0.08047889610389611,0.4552353896103896,0.7363230519480519,0.20848214285714287,0.3265827922077922,0.4394074675324675,0.5117288961038962,0.6790178571428571,0.4106737012987013,0.11473214285714285
Automonteurs,0.859375,0.7567775974025974,0.9878652597402597,0.1744724025974026,0.7506087662337663,0.9316152597402597,0.05523538961038961,0.5450892857142857,0.006412337662337663,0.2398944805194805,0.19581980519480519,0.8530438311688312,0.4552353896103896,0.8741477272727273,0.014001623376623376,0.25044642857142857,0.4842938311688312,0.7113230519480519,0.5881087662337663,0.29703733766233764,0.28348214285714285,0.1510957792207792,0.33762175324675325,0.023173701298701298,0.22171266233766235,0.21708603896103895,0.7506087662337663,0.7321834415584415,0.44703733766233766,0.7529626623376623,0.6717126623376624,0.800689935064935,0.2424918831168831,0.7203327922077922,0.8741477272727273,0.18137175324675325,0.5520698051948052,0.44703733766233766,0.6321834415584415,0.40588474025974025,0.023173701298701298,0.23323863636363637,0.40588474025974025,0.7630275974025974,0.6878652597402597,0.8892451298701298,0.19995941558441557,0.4939529220779221,0.39492694805194806,0.5237418831168831,0.12439123376623376,0.40588474025974025,0.45872564935064936,0.29703733766233764,0.1744724025974026,0.6071834415584415,0.03356331168831169,0.22171266233766235,0.5022321428571429,0.28348214285714285,0.9802353896103896,0.7139204545454545,0.6950081168831169,0.9652191558441559,0.33762175324675325,0.845413961038961,0.9606737012987013,0.9409496753246753,0.9661931818181818,0.9534496753246753,0.9553977272727273,0.8530438311688312,0.023173701298701298,0.2294237012987013,0.5364042207792208,0.20848214285714287,0.10393668831168831,0.7182224025974026,0.6802353896103897,0.6071834415584415,0.9786931818181818,0.5976866883116884,0.6037743506493507,0.7630275974025974,0.20848214285714287,0.6717126623376624,0.2692775974025974,0.7460633116883116,0.4422483766233766,0.13226461038961038,0.2871347402597403,0.09606331168831168,0.20531655844155844,0.19995941558441557,0.10393668831168831,0.31489448051948055,0.7898944805194805,0.6506899350649351,0.5411931818181818,0.09606331168831168,0.29703733766233764,0.5976866883116884,0.13226461038961038,0.2924107142857143,0.3894074675324675,0.7567775974025974,0.1510957792207792,0.05523538961038961,0.19330357142857144,0.18137175324675325,0.6221185064935065
Bakkers,0.9170860389610389,0.8519886363636363,0.9959821428571428,0.3830762987012987,0.8470373376623377,0.9680600649350649,0.28226461038961037,0.7064529220779221,0.2398944805194805,0.006412337662337663,0.40085227272727275,0.9101055194805194,0.6303165584415584,0.9287743506493507,0.23559253246753248,0.44955357142857144,0.6551542207792208,0.8208198051948052,0.7363230519480519,0.49184253246753246,0.4789366883116883,0.3572646103896104,0.5237418831168831,0.2518262987012987,0.03129058441558442,0.4200081168831169,0.8470373376623377,0.8352678571428571,0.6239853896103896,0.8485795454545455,0.791112012987013,0.8787743506493506,0.44030032467532465,0.8262581168831169,0.9287743506493507,0.3916801948051948,0.7104301948051948,0.6239853896103896,0.7667613636363636,0.585836038961039,0.22739448051948052,0.015381493506493506,0.20198863636363637,0.8567775974025974,0.8050730519480519,0.9430600649350649,0.0520698051948052,0.29906655844155844,0.18770292207792208,0.33762175324675325,0.13226461038961038,0.585836038961039,0.2609172077922078,0.49184253246753246,0.3830762987012987,0.7518262987012987,0.2609172077922078,0.4224431818181818,0.6734983766233766,0.4789366883116883,0.9924918831168831,0.8230925324675324,0.8114853896103896,0.9864042207792207,0.5237418831168831,0.9075081168831168,0.9837256493506493,0.9729301948051948,0.9870535714285714,0.9812094155844155,0.9818587662337662,0.9101055194805194,0.2518262987012987,0.4288555194805195,0.6988230519480519,0.41237824675324675,0.15588474025974025,0.8251217532467533,0.7976866883116883,0.7518262987012987,0.9917613636363637,0.7446834415584416,0.7494724025974026,0.8567775974025974,0.41237824675324675,0.791112012987013,0.46448863636363635,0.8433035714285714,0.6205762987012987,0.3466314935064935,0.4820211038961039,0.31659902597402595,0.046875,0.4033685064935065,0.15588474025974025,0.5040178571428572,0.8730113636363637,0.7788555194805195,0.703612012987013,0.31659902597402595,0.49184253246753246,0.7446834415584416,0.3466314935064935,0.06757305194805195,0.5692775974025974,0.8519886363636363,0.3572646103896104,0.28226461038961037,0.06018668831168831,0.3916801948051948,0.7601866883116883
