SOURCE GROUP /// TARGET GROUP -->,Accountants,"Adviseurs marketing, public relations en sales",Algemeen directeuren,Apothekersassistenten,Architecten,Artsen,Assemblagemedewerkers,Auteurs en taalkundigen,Automonteurs,Bakkers,Bedieners mobiele machines,Bedrijfskundigen en organisatieadviseurs,Beeldend kunstenaars,Beleidsadviseurs,Beroepsgroep sportinstructeurs,Beveiligingspersoneel,Bibliothecarissen en conservatoren,Biologen en natuurwetenschappers,Boekhouders,Boekhoudkundig medewerkers,Bouwarbeiders afbouw,Bouwarbeiders ruwbouw,Buschauffeurs en trambestuurders,Callcentermedewerkers outbound en overige verkopers,"Chauffeurs auto's, taxi's en bestelwagens",Conciërges en teamleiders schoonmaak,Databank- en netwerkspecialisten,Dekofficieren en piloten,Directiesecretaresses,Docenten algemene vakken secundair onderwijs,Docenten beroepsgerichte vakken secundair onderwijs,Docenten hoger onderwijs en hoogleraren,Elektriciens en elektronicamonteurs,Elektrotechnisch ingenieurs,Financieel specialisten en economen,Fotografen en interieurontwerpers,Fysiotherapeuten,Gebruikersondersteuning ICT,Gespecialiseerd verpleegkundigen,Grafisch vormgevers en productontwerpers,"Hoveniers, tuinders en kwekers",Hulpkrachten bouw en industrie,Hulpkrachten landbouw,Ingenieurs (geen elektrotechniek),Journalisten,Juristen,Kappers en schoonheidsspecialisten,Kassamedewerkers,Kelners en barpersoneel,Keukenhulpen,Koks,Laboranten,"Laders, lossers en vakkenvullers",Land- en bosbouwers,Lassers en plaatwerkers,Leerkrachten basisonderwijs,Leidsters kinderopvang en onderwijsassistenten,Loodgieters en pijpfitters,Maatschappelijk werkers,Machinemonteurs,Managers ICT,Managers commerciële en persoonlijke dienstverlening,Managers detail- en groothandel,Managers gespecialiseerde dienstverlening,Managers horeca,Managers logistiek,Managers onderwijs,Managers productie,Managers verkoop en marketing,Managers zakelijke en administratieve dienstverlening,Managers zonder specificatie,Managers zorginstellingen,Medewerkers drukkerij en kunstnijverheid,Medisch praktijkassistenten,Medisch vakspecialisten,Metaalbewerkers en constructiewerkers,"Meubelmakers, kleermakers en stoffeerders",Militaire beroepen,Onderwijskundigen en overige docenten,Overheidsambtenaren,Overheidsbestuurders,Politie en brandweer,Politie-inspecteurs,Procesoperators,Productcontroleurs,Productieleiders industrie en bouw,Productiemachinebedieners,Psychologen en sociologen,Radio- en televisietechnici,Receptionisten en telefonisten,Reisbegeleiders,Schilders en metaalspuiters,Schoonmakers,Secretaresses en administratief medewerkers,Slagers,"Sociaal werkers, groeps- en woonbegeleiders",Software- en applicatieontwikkelaars,Specialisten personeels- en loopbaanontwikkeling,Technici bouwkunde en natuur,Timmerlieden,Transportplanners en logistiek medewerkers,Uitvoerend kunstenaars,Veetelers,Verkoopmedewerkers detailhandel,Verpleegkundigen (mbo),Vertegenwoordigers en inkopers,Verzorgenden en verleners van overige persoonlijke diensten,Vrachtwagenchauffeurs,Vuilnisophalers en dagbladenbezorgers,Winkeliers en teamleiders detailhandel,Zakelijke dienstverleners
Accountants,0.008847402597402599,0.33786525974025977,0.6971834415584416,0.45370941558441563,0.3945048701298701,0.5443587662337662,0.47616071428571427,0.3759983766233766,0.6657873376623377,0.5780275974025973,0.5429139610389611,0.15531655844155845,0.5931737012987013,0.2701704545454545,0.5978652597402597,0.36056006493506493,0.354099025974026,0.5286282467532466,0.213887987012987,0.5542288961038961,0.4655600649350649,0.5469074675324674,0.5860146103896103,0.45531655844155844,0.4507061688311689,0.38082792207792204,0.3075405844155844,0.5362256493506493,0.4325405844155844,0.3499918831168831,0.45942370129870136,0.3566801948051948,0.6176542207792207,0.48137175324675324,0.21218344155844154,0.49440746753246756,0.5859496753246753,0.45856331168831166,0.608547077922078,0.41687500000000005,0.5237094155844155,0.5528165584415584,0.628685064935065,0.42073863636363634,0.2353814935064935,0.20387175324675327,0.5368262987012987,0.641387987012987,0.6519237012987013,0.5617938311688312,0.580689935064935,0.663465909090909,0.5670698051948052,0.40848214285714285,0.526323051948052,0.48463474025974024,0.6030925324675325,0.5603814935064935,0.5089204545454545,0.5642938311688311,0.5046022727272728,0.3362094155844155,0.3211120129870129,0.46653409090909087,0.4713230519480519,0.33213474025974027,0.5383198051948052,0.5463555194805194,0.36054383116883115,0.3839366883116883,0.37427759740259736,0.44658279220779223,0.493060064935065,0.7522808441558442,0.5511769480519481,0.5458360389610389,0.4810795454545454,0.43442370129870134,0.36747564935064936,0.30239448051948054,0.4358603896103896,0.4700405844155844,0.3944886363636364,0.36414772727272726,0.4017613636363636,0.505349025974026,0.5298782467532468,0.41375811688311687,0.565137987012987,0.43686688311688304,0.5077840909090909,0.49979707792207795,0.46940746753246754,0.4246266233766234,0.4177353896103896,0.5432061688311689,0.3889366883116883,0.26059253246753245,0.3325081168831169,0.6114853896103896,0.4231899350649351,0.3745048701298701,0.4567045454545454,0.6079301948051948,0.7424594155844156,0.21372564935064933,0.5045048701298701,0.6395698051948052,0.5478246753246754,0.44926136363636365,0.3439691558441558
"Adviseurs marketing, public relations en sales",0.38721590909090914,0.008847402597402599,0.8184821428571428,0.48799512987012994,0.4762905844155844,0.518612012987013,0.5686282467532467,0.368125,0.5990016233766233,0.4416152597402598,0.5690665584415584,0.3857711038961039,0.4988392857142857,0.4239366883116883,0.4456574675324676,0.4588311688311688,0.37179383116883113,0.459163961038961,0.26745941558441555,0.5435633116883116,0.5437581168831169,0.6360957792207792,0.5939691558441559,0.2674594155844156,0.5547321428571428,0.354650974025974,0.44059253246753244,0.6271347402597404,0.43031655844155847,0.2915178571428571,0.45276785714285717,0.3097808441558441,0.6738717532467533,0.5166964285714286,0.4354788961038961,0.5003327922077921,0.505900974025974,0.37681006493506497,0.575625,0.2257711038961039,0.569586038961039,0.3809821428571428,0.6339935064935065,0.38241071428571427,0.19916396103896103,0.22594967532467533,0.5225892857142858,0.5843506493506494,0.5730275974025973,0.5009983766233767,0.5028165584415584,0.5371672077922078,0.5788798701298701,0.45883116883116887,0.5849594155844156,0.3818100649350649,0.48052759740259743,0.6504626623376623,0.4689042207792208,0.5935633116883118,0.6814853896103896,0.4729951298701298,0.4546996753246753,0.6262094155844157,0.38409902597402595,0.46517857142857144,0.5891314935064935,0.7165016233766233,0.5716801948051948,0.481663961038961,0.5432386363636363,0.5375162337662338,0.5526217532467532,0.6392288961038961,0.5762418831168832,0.6295048701298701,0.5707224025974026,0.4180275974025974,0.42883928571428576,0.29651785714285717,0.5058035714285715,0.47556006493506486,0.4293100649350649,0.42993506493506495,0.47495941558441557,0.5827191558441558,0.6372321428571429,0.42465097402597407,0.4669237012987013,0.2702516233766234,0.3579301948051948,0.5668831168831168,0.5008198051948052,0.4229951298701298,0.534926948051948,0.4869074675324675,0.33835227272727275,0.30091720779220776,0.42627435064935065,0.6271996753246754,0.504375,0.2842288961038961,0.5320211038961039,0.4719237012987013,0.6051217532467532,0.2519318181818182,0.5174918831168831,0.6961363636363637,0.5248782467532467,0.3723295454545455,0.29620941558441555
Algemeen directeuren,0.4000892857142857,0.5035957792207791,0.008847402597402599,0.6462256493506493,0.5544561688311689,0.556112012987013,0.6429626623376624,0.4899269480519481,0.7035957792207793,0.6552840909090909,0.6346185064935064,0.43268668831168833,0.5303003246753246,0.46948863636363636,0.6743587662337662,0.548262987012987,0.5677029220779222,0.6191314935064934,0.48041396103896106,0.5528977272727272,0.5810146103896104,0.619862012987013,0.4430113636363636,0.5548295454545455,0.5488717532467533,0.4222564935064935,0.43010551948051945,0.6189042207792208,0.5359496753246753,0.534862012987013,0.5839204545454545,0.5214366883116883,0.6967288961038961,0.5284983766233766,0.41505681818181817,0.6704464285714284,0.7211201298701299,0.5695454545454546,0.7645698051948051,0.5563555194805195,0.6062581168831169,0.7083198051948051,0.724034090909091,0.471663961038961,0.49606331168831164,0.44646915584415586,0.6916801948051948,0.6698944805194805,0.6971834415584417,0.6343506493506493,0.6230519480519481,0.7854464285714287,0.6202840909090909,0.42781655844155847,0.6254951298701298,0.6063717532467533,0.655137987012987,0.6545211038961039,0.6655275974025974,0.6625081168831168,0.27474837662337664,0.389310064935065,0.3931412337662337,0.26799512987012986,0.6002516233766234,0.32495941558441555,0.32137175324675327,0.39050324675324677,0.2664366883116883,0.329862012987013,0.2828652597402597,0.44659902597402595,0.658400974025974,0.765073051948052,0.5967451298701298,0.6551866883116882,0.6321347402597404,0.40893668831168833,0.5290909090909091,0.5353327922077923,0.16400974025974024,0.6842613636363636,0.6250081168831169,0.519439935064935,0.6373133116883117,0.5437094155844157,0.6639853896103896,0.5702678571428571,0.6159496753246754,0.5745211038961039,0.6482873376623376,0.5013392857142858,0.6220779220779221,0.5226704545454546,0.5646996753246754,0.6720211038961039,0.4714042207792208,0.5066152597402597,0.46919642857142857,0.6678977272727273,0.46409902597402597,0.5811120129870129,0.5640340909090908,0.6499431818181818,0.7788392857142856,0.4269399350649351,0.656810064935065,0.6026542207792208,0.6675730519480519,0.5755113636363636,0.5323295454545455
Apothekersassistenten,0.6834821428571429,0.6802840909090909,0.9468262987012988,0.008847402597402599,0.7279139610389611,0.7710633116883117,0.49007305194805195,0.5554951298701298,0.6605925324675325,0.5488230519480519,0.49474837662337656,0.6852516233766233,0.5970860389610391,0.6524918831168832,0.6334334415584415,0.409099025974026,0.4598944805194805,0.8255925324675324,0.4991152597402597,0.5215016233766234,0.4084496753246753,0.5053977272727272,0.5726866883116883,0.4191964285714286,0.47969967532467533,0.4789042207792208,0.688336038961039,0.7763068181818182,0.44685876623376625,0.6474269480519481,0.6879139610389611,0.7434983766233766,0.625008116883117,0.7626055194805195,0.7279139610389611,0.47004058441558444,0.6159172077922078,0.6377029220779221,0.5739366883116883,0.5760146103896104,0.5402516233766234,0.5186282467532467,0.754715909090909,0.7938717532467532,0.5214853896103897,0.5516314935064934,0.2624594155844156,0.4404788961038962,0.6454301948051949,0.580073051948052,0.7115340909090909,0.6583685064935065,0.6414366883116883,0.38984577922077923,0.4548376623376623,0.5384821428571428,0.44520292207792206,0.5589204545454545,0.5005113636363636,0.5302353896103896,0.8395535714285713,0.7639366883116883,0.6987581168831168,0.8603652597402598,0.6193262987012987,0.7558522727272727,0.8183847402597403,0.8572321428571429,0.7909496753246754,0.777637987012987,0.7908522727272727,0.7495211038961039,0.5584172077922078,0.509797077922078,0.7187418831168831,0.5160551948051948,0.5847159090909091,0.8225568181818181,0.5791314935064935,0.5127516233766234,0.8243749999999999,0.7021996753246753,0.6535957792207792,0.5624107142857143,0.527637987012987,0.7382711038961038,0.5996022727272727,0.5842451298701298,0.6959821428571429,0.31030032467532465,0.48833603896103894,0.40570616883116883,0.2656412337662338,0.3530762987012987,0.4785470779220779,0.4806737012987013,0.7489691558441558,0.48956980519480525,0.6215016233766234,0.612426948051948,0.6319074675324676,0.576599025974026,0.4857873376623376,0.5528003246753247,0.5981412337662338,0.5841314935064936,0.2462905844155844,0.6122970779220778,0.5782873376623376,0.5105113636363636,0.5946185064935064
Architecten,0.12327110389610389,0.18677759740259742,0.6259659090909091,0.39916396103896107,0.008847402597402599,0.4337094155844156,0.4036931818181818,0.3095698051948052,0.5904788961038961,0.486875,0.44963474025974026,0.1494724025974026,0.4700405844155844,0.2538392857142857,0.5079464285714286,0.2866152597402597,0.2777353896103896,0.34257305194805193,0.15484577922077922,0.4266964285714286,0.4085633116883117,0.5164204545454545,0.5122646103896105,0.39538149350649354,0.4078003246753247,0.33882305194805196,0.1865746753246753,0.46749188311688306,0.36706168831168834,0.19625,0.3335146103896104,0.22955357142857147,0.4920535714285715,0.2662094155844156,0.14012987012987013,0.39271915584415584,0.3990827922077922,0.3357224025974026,0.4384659090909091,0.2680438311688312,0.4360146103896104,0.4730113636363636,0.5822646103896103,0.21596590909090907,0.12116071428571429,0.1903409090909091,0.445137987012987,0.5875243506493506,0.5762743506493506,0.5071996753246754,0.43383928571428576,0.5540340909090911,0.5056737012987014,0.3591477272727273,0.43513798701298706,0.3373944805194805,0.5178003246753247,0.5072646103896103,0.36215097402597407,0.4581737012987013,0.4406331168831169,0.2167288961038961,0.22876623376623376,0.402987012987013,0.30387175324675325,0.280349025974026,0.5001055194805195,0.4954788961038961,0.3174594155844156,0.33068993506493505,0.3362581168831169,0.3999512987012987,0.4552110389610389,0.5957386363636363,0.3988555194805195,0.47455357142857146,0.4386282467532467,0.2742938311688312,0.27711850649350656,0.22582792207792207,0.3920292207792208,0.3614042207792208,0.3049594155844156,0.30987824675324677,0.2948295454545454,0.39606331168831166,0.48914772727272726,0.25687499999999996,0.4453733766233766,0.3440340909090909,0.35054383116883114,0.46612012987012985,0.43739448051948054,0.3763392857142857,0.3853814935064935,0.40252435064935066,0.2572808441558442,0.1939366883116883,0.1559172077922078,0.5100162337662337,0.2220211038961039,0.21474837662337662,0.39327110389610387,0.5257711038961039,0.5940827922077923,0.14502435064935065,0.44637175324675327,0.6084496753246753,0.48234577922077915,0.2997159090909091,0.15590097402597403
Artsen,0.34189123376623376,0.2836931818181818,0.672573051948052,0.4537094155844156,0.48364448051948056,0.008847402597402599,0.5984983766233767,0.3554626623376623,0.6342775974025974,0.4741314935064935,0.5892288961038961,0.3339366883116883,0.5044561688311688,0.23054383116883115,0.4961769480519481,0.5043100649350649,0.3448133116883117,0.5082873376623377,0.37185876623376624,0.4656087662337663,0.5723295454545454,0.6695373376623377,0.6462418831168831,0.3004220779220779,0.5581412337662337,0.46249188311688305,0.4800405844155844,0.6790503246753247,0.41236201298701297,0.2267451298701299,0.42552759740259744,0.23318993506493507,0.6740909090909091,0.48361201298701295,0.3339448051948052,0.44729707792207785,0.3584821428571428,0.44309253246753244,0.4727840909090909,0.3460308441558442,0.5792938311688312,0.4416477272727272,0.6943912337662338,0.43521103896103897,0.28228084415584415,0.11760551948051948,0.45169642857142855,0.5268344155844156,0.49909902597402594,0.5492775974025974,0.5401542207792208,0.49617694805194806,0.6237012987012988,0.5260227272727273,0.5966152597402598,0.31637175324675326,0.47382305194805197,0.6791801948051948,0.3795535714285715,0.617086038961039,0.5224918831168831,0.4939285714285715,0.5079464285714286,0.4787743506493507,0.4143425324675325,0.47252435064935067,0.3522483766233766,0.5528003246753247,0.44330357142857146,0.36693993506493505,0.41747564935064935,0.393952922077922,0.6082224025974026,0.47830357142857144,0.5608522727272727,0.6498133116883117,0.6222321428571429,0.4210795454545454,0.3169237012987013,0.3134983766233766,0.3884172077922078,0.5545373376623377,0.4809821428571429,0.5185795454545454,0.4903003246753247,0.6107386363636365,0.6899107142857144,0.2855438311688312,0.5629788961038961,0.24504058441558443,0.29893668831168824,0.5966314935064935,0.42887175324675325,0.389099025974026,0.5657873376623377,0.37715097402597403,0.3962743506493507,0.23232142857142857,0.4605113636363637,0.6433685064935064,0.49166396103896104,0.3733522727272727,0.5714853896103896,0.4493425324675325,0.5361444805194805,0.3957386363636364,0.472573051948052,0.7214042207792207,0.5890665584415584,0.39411525974025974,0.3464042207792208
Assemblagemedewerkers,0.5507467532467534,0.596112012987013,0.7868912337662338,0.3107873376623377,0.5909172077922078,0.7657061688311688,0.008847402597402599,0.5666639610389611,0.428400974025974,0.399163961038961,0.21267045454545452,0.5916639610389611,0.5421509740259741,0.6683035714285714,0.5040178571428571,0.19823863636363637,0.4919886363636364,0.7020535714285714,0.42203733766233764,0.6025081168831168,0.22318993506493506,0.24340097402597405,0.34910714285714284,0.40895292207792205,0.24124188311688313,0.41469967532467533,0.5234659090909091,0.6520211038961039,0.5812256493506494,0.6308198051948052,0.6427516233766234,0.6770698051948052,0.4747159090909091,0.6267613636363636,0.5879301948051949,0.3992126623376623,0.6604626623376624,0.42054383116883115,0.696323051948052,0.4972646103896104,0.18380681818181818,0.28174512987012984,0.45754058441558443,0.5999269480519479,0.46335227272727275,0.5245292207792208,0.3292613636363636,0.5302191558441558,0.5790665584415584,0.42997564935064936,0.4681087662337662,0.6938717532467532,0.3792451298701299,0.21065746753246756,0.17379058441558443,0.6559334415584415,0.5506087662337662,0.3438392857142857,0.5617775974025975,0.2707548701298701,0.6792451298701299,0.6255113636363636,0.5217288961038962,0.6701866883116883,0.45440746753246747,0.5829951298701299,0.810137987012987,0.6971185064935065,0.6084496753246752,0.6509496753246753,0.5987256493506493,0.7950405844155845,0.2853977272727273,0.6877516233766234,0.6513555194805195,0.2529139610389611,0.2733360389610389,0.6531737012987013,0.6364853896103896,0.5054788961038961,0.7233685064935066,0.519099025974026,0.5450243506493506,0.32677759740259743,0.3638717532467533,0.5574594155844156,0.35364448051948055,0.6776055194805195,0.4684821428571429,0.3557873376623376,0.4938392857142857,0.2123457792207792,0.30898538961038957,0.45577110389610387,0.16439123376623377,0.5277029220779221,0.5698782467532468,0.5288555194805196,0.42166396103896103,0.4077678571428571,0.4407386363636363,0.44882305194805194,0.21205357142857142,0.5490016233766234,0.7472321428571429,0.4402353896103896,0.3675568181818182,0.3108116883116883,0.2907386363636364,0.4226055194805195,0.5097808441558441
Auteurs en taalkundigen,0.5200730519480519,0.4798295454545454,0.8313717532467533,0.46918019480519485,0.6238068181818183,0.6516152597402597,0.6034983766233767,0.008847402597402599,0.7436607142857143,0.5633198051948052,0.6217613636363636,0.5098295454545455,0.39801136363636364,0.4339366883116883,0.5777191558441559,0.46797889610389604,0.29557629870129876,0.6657224025974026,0.26906655844155847,0.4002353896103896,0.5265827922077921,0.5688555194805194,0.5755113636363636,0.3528814935064935,0.599375,0.31833603896103896,0.5545535714285714,0.6156574675324675,0.2905762987012987,0.4390503246753246,0.39213474025974027,0.5486931818181818,0.7037418831168831,0.6849918831168831,0.5981737012987013,0.40931006493506494,0.5370373376623376,0.5684659090909091,0.5984821428571429,0.4172808441558442,0.6446347402597402,0.5739204545454546,0.7262256493506493,0.6696996753246753,0.3150081168831169,0.3472483766233766,0.5354951298701298,0.609650974025974,0.5990990259740259,0.5954301948051949,0.7260146103896105,0.5960308441558442,0.6801055194805196,0.36351461038961036,0.6109983766233766,0.49304383116883116,0.5780275974025975,0.6225081168831169,0.4993425324675325,0.6358522727272727,0.6437337662337662,0.4552516233766234,0.49560876623376615,0.639797077922078,0.5876704545454545,0.5042775974025974,0.5312743506493507,0.6838392857142858,0.6087905844155845,0.5344399350649351,0.5555600649350649,0.4746834415584416,0.48987824675324676,0.7156412337662338,0.45396915584415587,0.6376866883116883,0.5219561688311689,0.6409496753246753,0.37083603896103895,0.26007305194805197,0.5629951298701299,0.585900974025974,0.45974837662337653,0.5234659090909091,0.552362012987013,0.5656574675324675,0.5960957792207792,0.5011444805194805,0.6415016233766234,0.3707548701298702,0.47046266233766226,0.4371103896103896,0.38418019480519483,0.24781655844155842,0.5659496753246753,0.5399918831168832,0.6435308441558443,0.2996672077922078,0.5062743506493506,0.7085146103896103,0.5988068181818181,0.43737824675324677,0.45737824675324673,0.5442451298701299,0.6715665584415583,0.3931087662337662,0.4260957792207792,0.5834983766233767,0.6149756493506494,0.5431737012987014,0.4433847402597403
Automonteurs,0.6615665584415584,0.5316964285714285,0.8089529220779221,0.3748133116883117,0.7091314935064935,0.7290503246753247,0.2346347402597403,0.6256737012987013,0.008847402597402599,0.37593344155844155,0.15239448051948054,0.7003977272727273,0.5563392857142857,0.7319561688311689,0.45242694805194805,0.3213798701298701,0.5586282467532468,0.708125,0.524099025974026,0.6257548701298701,0.2027840909090909,0.24318993506493508,0.3440665584415584,0.3385795454545455,0.23910714285714288,0.4680275974025974,0.5924269480519481,0.6800081168831169,0.6121185064935065,0.6264042207792208,0.6968100649350649,0.6370048701298701,0.3518587662337663,0.5218587662337663,0.6816152597402597,0.47500811688311684,0.5997159090909091,0.3593100649350649,0.6897321428571428,0.44533279220779226,0.1844724025974026,0.24947240259740258,0.4549107142857143,0.5297321428571429,0.534375,0.5473701298701299,0.33107954545454543,0.500625,0.5450243506493506,0.4673538961038961,0.3981737012987013,0.5926055194805195,0.42004058441558445,0.3265827922077922,0.15943993506493506,0.5835146103896104,0.45448863636363634,0.22427759740259742,0.557426948051948,0.19035714285714284,0.6788068181818181,0.7179951298701299,0.629926948051948,0.7519561688311688,0.41099837662337657,0.5966964285714286,0.8322159090909091,0.6812418831168832,0.7148782467532468,0.7041639610389611,0.6872483766233767,0.8241152597402597,0.3541964285714286,0.5936120129870129,0.7695698051948052,0.2295698051948052,0.3438717532467533,0.614650974025974,0.698676948051948,0.5674756493506493,0.7601055194805195,0.5576866883116883,0.6258847402597403,0.350625,0.4513068181818182,0.5242451298701298,0.40692370129870126,0.6936282467532467,0.3725568181818182,0.2842775974025974,0.43982954545454545,0.19895292207792206,0.3711850649350649,0.5124431818181818,0.2822321428571429,0.5077840909090909,0.4528327922077922,0.5970373376623377,0.4795698051948052,0.2428327922077922,0.5019074675324675,0.4395860389610389,0.3221590909090909,0.5130925324675325,0.6661607142857142,0.5498133116883117,0.4136282467532467,0.28309253246753247,0.31461850649350653,0.4394886363636364,0.5615827922077923
Bakkers,0.7454301948051948,0.5839853896103896,0.911452922077922,0.48611201298701295,0.7797483766233766,0.7519237012987012,0.5383847402597403,0.6025081168831169,0.6562581168831169,0.008847402597402599,0.5901055194805195,0.7213555194805195,0.5430275974025974,0.736387987012987,0.3602191558441559,0.510560064935065,0.5896022727272727,0.6807548701298701,0.5464204545454546,0.6623620129870129,0.5279788961038961,0.6093587662337662,0.5529951298701299,0.302150974025974,0.4850892857142857,0.47788149350649345,0.7896672077922078,0.8759334415584416,0.662784090909091,0.6766964285714286,0.6875568181818181,0.6701379870129871,0.7742938311688311,0.8385957792207792,0.7647808441558441,0.5352353896103895,0.7359496753246754,0.6206737012987013,0.8150405844155844,0.4592775974025974,0.5496022727272728,0.27307629870129874,0.4577353896103896,0.7674756493506493,0.5592451298701299,0.5587905844155844,0.38328733766233763,0.41098214285714285,0.432491883116883,0.3432386363636364,0.5647808441558442,0.647362012987013,0.406599025974026,0.40513798701298703,0.5639691558441559,0.7233522727272728,0.44814123376623377,0.6919399350649351,0.6828003246753246,0.6306412337662337,0.8635146103896104,0.7787094155844156,0.7839691558441558,0.8348944805194805,0.5834334415584416,0.786176948051948,0.7709496753246753,0.8902191558441559,0.8185633116883116,0.7170211038961039,0.8011282467532468,0.7951866883116884,0.5125568181818182,0.7459496753246753,0.7354626623376623,0.6597077922077922,0.49747564935064936,0.6642613636363637,0.7252516233766234,0.5911607142857143,0.7248133116883115,0.7483198051948052,0.6980600649350649,0.6352191558441558,0.5913392857142857,0.8252516233766234,0.7084334415584416,0.7711282467532469,0.6307061688311689,0.36761363636363636,0.5436444805194806,0.4566477272727273,0.3403003246753247,0.5273214285714285,0.47953733766233764,0.6364366883116883,0.7306737012987014,0.6365503246753247,0.7161282467532468,0.7001704545454546,0.7118425324675325,0.558400974025974,0.4945698051948052,0.2784172077922078,0.7194399350649351,0.6507386363636364,0.5112905844155844,0.6307386363636364,0.21804383116883116,0.5378327922077921,0.6198620129870129
